Song ID,Canonical Title,Canonical Artist,MusicBrainz Work ID,Primary Recording ID,Preferred Primary Release,First Published Year,Genre Family,Default Mood Tags,Default Event Tags,Default Situation Tags,Notes
SC0D3A17814BB,Dancing Queen,$olal,,R110C0EE2AF4B,Best of Lounge Music,1958.0,,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S75F259F2DB67,abcdefu - 8D Audio,"(((()))), 8D Music, & Tazzy 8D Songs vol. 1 | TikTok 8D Music, 8D Hits, 8D Pop Songs, 8D TikTok Hits, 8D Audio Music Mix",,R437DAB2B44ED,abcdefu (8D Audio Mix) - Single,2021.0,Pop,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S45D9544987CD,Play the Game - Queen,"(chamber ensemble version) | stories, Monica Martin",,RF777916881F1,"Greatest Hits I, II & III: The Platinum Collection",1980.0,Rock,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
SB8E801F7217A,Bye Bye Bye,*NSYNC,,R0444B878B34C,Party Animal,2000.0,Pop,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
SFC0990A0B014,Bob Moses - Need You Tonight,0triptiger0,,R4F296E856EA4,Afterglow - Single,2022.0,Dance,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
SC745FE6CC038,Because the Night,"10,000 Maniacs",,RDD9AF9D09D48,"Campfire Songs: The Popular, Obscure & Unknown Recordings of 10,000 Maniacs",1993.0,Rock,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S6608BFC37D7C,Candy Everybody Wants,"10,000 Maniacs",,R006FA7568E95,Extended Versions,1992.0,Rock,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
SF66F302D3529,These Are Days,"10,000 Maniacs",,REF8DF2E4F289,MTV Unplugged (Expanded Edition) [Live],1992.0,Pop,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
SF8E280D4AE69,You Oughta Know,1000 Mona Lisas,,RF8A0AF399C2A,New Disease (Expanded Edition),1995.0,Rock,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S77330CB835BF,I'm Not In Love,10cc,,RF89A633F3CB0,The Original Soundtrack,2008.0,Pop,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
