Source,Comparison Key,CSV Line,Title,Base Title,Artist,Album,Duration,Genre,Year,Original Artist,Cover Song,Orig Artist,Covering Artist,Source Files,Playlists,Original Data,Energy,BPM,Vibe,Discogs Verified,Spotify Verified,MusicBrainz Verified,iTunes Verified,Spotify ID,Spotify Track ID,Spotify Popularity,Spotify ISRC,Spotify Album,Spotify Release Date,Spotify Duration (ms),Spotify MusicBrainz ID,Spotify BPM,Spotify Key Full,Spotify Energy Level,Spotify Danceability,Spotify Genre,Spotify LastFM Tags,Spotify Vibe,Alternate Albums,Duplicate Merge Notes
active_only,1 crush || garbage || absolute garbage || 4:45,3106,#1 Crush,#1 Crush,Garbage,Absolute Garbage,4:45,Rock,1995.0,,No,,,User Verification List,,Requested by user,,,,,Yes,,,,,,,,,,,,,,,,,,,
active_only,867 5309 jenny || tommy tutone || tommy tutone 2 || 3:46,9319,867-5309 / Jenny,867-5309 / Jenny,Tommy Tutone,Tommy Tutone - 2,3:46,,1981,,No,,,songtrash_song_inventory.md,,Title: 867-5309 / Jenny | Artist: Tommy Tutone | Source: songtrash_song_inventory.md,,,,,Yes,,,,,,,,,,,,,,,,,,,
active_only,a deeper silence || steve roach || music for stargazing volume 2 || 73:41,7122,A Deeper Silence,A Deeper Silence,Steve Roach,"Music for Stargazing, Volume 2",73:41,Trip-Hop,2008.0,,No,,,"trip hop songhs long lis2t.txt, drive-download-20260627T091940Z-3-001\TRIP-HOP SONGS GOOD LIST.doc.docx, drive-download-20260627T091940Z-3-001\triphopsonghslonglist.txt.html",,"Steve Roach"", ""A Deeper Silence"", """"Trip-Hop ; Steve Roach,A Deeper Silence | 1 ; Steve Roach"",""A Deeper Silence",,,,,Yes,,,,5GTEeDNm3Xts2ZFjToIoWn,16,,,,,e61eda24-f522-4fd6-bf58-e580149531a9,,,,,,,,,
active_only,ace of spades || motorhead || ace of spades || 2:48,9209,Ace of Spades,Ace of Spades,Motörhead,Ace of Spades (Expanded Edition),2:48,,1980,,No,,,songtrash_song_inventory.md,,Title: Ace of Spades | Artist: Motörhead | Source: songtrash_song_inventory.md,,,,,Yes,,,,,,,,,,,,,,,,,,,
active_only,air concert prive || electronic music || le manifeste || 59:48,2654,Air - Concert Prive,Air - Concert Prive,Electronic Music,"Le Manifeste (Vol. 1 Mon Européenne, Vol. 2 Lulu, Vol. 3 Les bords de Seine)",59:48,,2007.0,,No,,,"merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv",,Title: Air - Concert Prive (2007) | Original Artist Col: Electronic Music | Album Col: nan | Duration: 59:48,,,,,,,,,,,,,,,,,,,,,,,,
active_only,belfast child || 22 simple minds ||  || ,9385,Belfast Child,Belfast Child,🌧️ 22. Simple Minds,,,,,,No,,,songtrash_song_inventory.md,,Title: Belfast Child | Artist: 🌧️ 22. Simple Minds | Source: songtrash_song_inventory.md,,,,,,,,,,,,,,,,,,,,,,,,
active_only,between a rock and a hard place || rolling stones || steel wheels || 5:25,9312,Between a Rock and a Hard Place,Between a Rock and a Hard Place,The Rolling Stones,Steel Wheels (2009 Remaster),5:25,Rock,1989,,No,,,songtrash_song_inventory.md,NRG,Title: Between a Rock and a Hard Place | Artist: The Rolling Stones | Source: songtrash_song_inventory.md,,,,,,,Yes,,2KxYID9maMVJaGnvGu6Iso,27,,,,,,,,,,,,,,
active_only,burnin for you || blue oyster cult ||  || ,9156,Burnin' for You,Burnin' for You,Blue Öyster Cult,,,,,,No,,,songtrash_song_inventory.md,,Title: Burnin' for You | Artist: IV. Songs Like Blue Öyster Cult | Source: songtrash_song_inventory.md,,,,,Yes,,,,,,,,,,,,,,,,,,,
active_only,burnin for you || blue oyster cult || fire of unknown origin || 4:31,1372,Burnin' for You,Burnin' for You,Blue Öyster Cult,Fire of Unknown Origin,4:31,Hard Rock,1981.0,,No,,,Book1.csv,,Blue Öyster Cult - Burnin' for You,,,,,Yes,,,3fkPMWQ6cBNBLuFcPyMS8s,,,,,,,,,,,,,,,,
active_only,cellophane || 30 fka twigs ||  || ,9394,Cellophane,Cellophane,🫀 30. FKA Twigs,,,,,,No,,,songtrash_song_inventory.md,,Title: Cellophane | Artist: 🫀 30. FKA Twigs | Source: songtrash_song_inventory.md,,,,,,,,,,,,,,,,,,,,,,,,
active_only,dangerous || big data || 2 0 || 4:40,1184,Dangerous (feat. Joywave),Dangerous,Big Data,2.0,4:40,Electronic,2013.0,,No,,,"YouTube and YouTube Music/music-uploads/music-uploads-metadata.csv, YTMusic\music-uploads\Dangerous (feat. Joywave).mp3",,Song Title: Dangerous (feat. Joywave) | Album Title: 2.0 | Artist Names: Big Data | Duration Seconds: 280 ; File: Dangerous (feat. Joywave).mp3 | Parsed Title: Dangerous (feat. Joywave) | Parsed Artist: | Parsed Album:,,,,,,,Yes,,,,,,,,,,,,,,,,,
active_only,debaser || pixies || doolittle || 2:51,9244,Debaser,Debaser,Pixies,Doolittle,2:51,,1989,,No,,,songtrash_song_inventory.md,,Title: Debaser | Artist: Pixies | Source: songtrash_song_inventory.md,,,,,Yes,,,,5cy5IStIn7OSHDEIgXeDyq,64,,,,,178f0251-dadd-426d-b7d8-cd9b68f331e5,,,,,,"Alternative Rock, Alternative, Indie, Rock, Indie Rock",,,
active_only,dream police || cheap trick ||  || ,9351,Dream Police,Dream Police,Cheap Trick,,,,,,No,,,songtrash_song_inventory.md,NRG,Title: Dream Police | Artist: VI. Songs Like Cheap Trick | Source: songtrash_song_inventory.md,,,,,Yes,,,,1YiAY1oCmkFjUabQL9gos4,54,,,,,,,,,,,,,,
