Song Key,Active Count,Staged Count,Active Lines,Staged Lines,Active Sample,Staged Sample
 || fleur,1,2,2937,2934; 9471,Шелкопряд | Fleur | Флёрография | 5:03,Шелкопряд | Fleur | Флёрография | 5:03
 || flur,2,2,2974; 9502,2971; 9469,Шелкопряд | Flёur | Флёрография | 5:03,Шелкопряд | Flёur | Флёрография | 5:03
1 crush || audiomachine,2,2,757; 761,757; 761,#1 Crush | Audiomachine | Trailerized: Covers and Originals | 2:43,#1 Crush | Audiomachine | Trailerized: Covers and Originals | 2:43
1 crush || garbage,3,2,3106; 3107; 3108,3103; 3104,#1 Crush | Garbage | Absolute Garbage | 4:45,#1 Crush (Nellee Hooper Mix) | Garbage | Garbage (20th Anniversary Deluxe Edition/Remastered) | 4:51
1 crush || mikes dead,2,2,5183; 5185,5179; 5181,#1 Crush | Mike's Dead | #1 Crush | 4:35,#1 Crush | Mike's Dead | #1 Crush | 4:35
1 crush || miss krystle,2,2,5221; 5226,5217; 5222,"#1 Crush | Miss Krystle | Covers, Vol. 2 | 4:33","#1 Crush | Miss Krystle | Covers, Vol. 2 | 4:33"
1 crush || taleen kali,2,2,7380; 7382,7376; 7378,#1 Crush | Taleen Kali | #1 Crush | 5:29,#1 Crush | Taleen Kali | #1 Crush | 5:29
11 oclock tick tock || u2,2,2,8593; 8594,8587; 8588,11 O'Clock Tick Tock | U2 | Under a Blood Red Sky | 4:43,11 O'Clock Tick Tock | U2 | Under a Blood Red Sky | 4:43
1234 || clementine duo,2,2,1884; 1891,1883; 1890,1234 | Clementine Duo | Clementine Acoustic Sessions | 3:06,1234 | Clementine Duo | Clementine Acoustic Sessions | 3:06
1901 || birdy,2,2,1242; 1253,1242; 1253,1901 | Birdy | Birdy (Deluxe Version) (Cover Nominees) | 5:12,1901 | Birdy | Birdy (Deluxe Version) (Cover Nominees) | 5:12
1979 || smashing pumpkins,2,2,6960; 8126,6956; 8120,1979 | Smashing Pumpkins | Mellon Collie And The Infinite Sadness (2012 Remastered) | 4:26,1979 | Smashing Pumpkins | Mellon Collie And The Infinite Sadness (2012 Remastered) | 4:26
2 wicky || hooverphonic,3,3,3560; 3561; 3562,3556; 3557; 3558,2 Wicky | Hooverphonic | A New Stereophonic Sound Spectacular (Playlist: Trip-Hop Downtempo) | 4:44,2 Wicky | Hooverphonic | A New Stereophonic Sound Spectacular (Playlist: Trip-Hop Downtempo) | 4:44
3 a m || matchbox twenty,2,2,5047; 5048,5043; 5044,3 A.M. | Matchbox Twenty | Yourself or Someone Like You | 3:51,3 A.M. | Matchbox Twenty | Yourself or Someone Like You | 3:51
5 seconds of summer no roots in live lounge || bbcradio1vevo,2,2,966; 992,966; 992,5 Seconds of Summer - No Roots (Alice Merton Cover) in the Live Lounge | BBCRadio1VEVO | For the Record | 2:43,5 Seconds of Summer - No Roots (Alice Merton Cover) in the Live Lounge | BBCRadio1VEVO | For the Record | 2:43
50 ways to leave your lover || stories,3,3,7177; 7206; 7213,7173; 7202; 7209,50 Ways To Leave Your Lover (feat. Sarah Dugas) | stories | vol. 23 | 3:45,50 Ways To Leave Your Lover (feat. Sarah Dugas) | stories | vol. 23 | 3:45
6 underground || lost souls,2,2,4752; 4754,4748; 4750,6 underground | Lost souls | 6 underground (Cover Nominees) | 3:22,6 underground | Lost souls | 6 underground (Cover Nominees) | 3:22
6 underground || miss krystle,2,2,5222; 5227,5218; 5223,"6 Underground | Miss Krystle | Covers, Vol. 2 (Cover Nominees) | 3:58","6 Underground | Miss Krystle | Covers, Vol. 2 (Cover Nominees) | 3:58"
6 underground || riccoste,2,2,6373; 6375,6369; 6371,6 Underground (feat. I-EM) | Riccoste | 6 Underground | 4:44,6 Underground (feat. I-EM) | Riccoste | 6 Underground | 4:44
6 underground || sneaker pimps,4,4,6985; 6986; 6987; 6988,6981; 6982; 6983; 6984,6 Underground | Sneaker Pimps | Becoming X | 3:49,6 Underground | Sneaker Pimps | Becoming X | 3:49
6 underground || xhoana x,2,2,8891; 8893,8885; 8887,6 UNDERGROUND | XHOANA X | 6 UNDERGROUND (Cover Nominees) | 3:49,6 UNDERGROUND | XHOANA X | 6 UNDERGROUND (Cover Nominees) | 3:49
6 underground sneaker pimps beyond hyperion || beyond hyperion,2,2,1172; 1174,1172; 1174,6 Underground - Sneaker Pimps (Drum and Bass Remix) - Beyond Hyperion | Beyond Hyperion | 1000 fragments | 5:24,6 Underground - Sneaker Pimps (Drum and Bass Remix) - Beyond Hyperion | Beyond Hyperion | 1000 fragments | 5:24
867 5309 jenny || tommy tutone,2,1,8400; 9319,8394,867 5309 / Jenny | Tommy Tutone | 867-5309 / Jenny - Single | 3:51,867 5309 / Jenny | Tommy Tutone | 867-5309 / Jenny - Single | 3:51
a beautiful mine || rjd2,2,2,6403; 6404,6399; 6400,A Beautiful Mine | RJD2 | Live at the Rave | 1:15,A Beautiful Mine | RJD2 | Live at the Rave | 1:15
a forest || cure,2,2,7754; 7755,7748; 7749,A Forest | The Cure | Seventeen Seconds | 5:52,A Forest | The Cure | Seventeen Seconds | 5:52
a higher place || royksopp,2,2,6528; 9527,6524; 9495,A Higher Place | Röyksopp | Melody A.M. | 4:31,A Higher Place | Röyksopp | Melody A.M. | 4:31
a little respect || beth,2,2,1150; 1154,1150; 1154,A Little Respect | Beth | Uncovered (Acoustic) | 2:34,A Little Respect | Beth | Uncovered (Acoustic) | 2:34
a little respect || erasure,2,2,2798; 2799,2795; 2796,A Little Respect | Erasure | The Innocents | 3:34,A Little Respect | Erasure | The Innocents | 3:34
a million miles away || deap vally,2,2,2267; 2269,2266; 2268,A Million Miles Away | Deap Vally | Valley Girl (Music From The Motion Picture) (Cover Nominees) | 3:39,A Million Miles Away | Deap Vally | Valley Girl (Music From The Motion Picture) (Cover Nominees) | 3:39
abcdefu || gayle,3,3,3130; 3131; 3132,3126; 3127; 3128,abcdefu | GAYLE | abcdefu | 2:49,abcdefu | GAYLE | abcdefu | 2:49
ace of spades || motorhead,2,2,9209; 9407,9202; 9374,Ace of Spades | Motörhead | Ace of Spades (Expanded Edition) | 2:48,Ace of Spades | Motörhead |  |
acemezni katncg canolmez || saska,2,2,6654; 9517,6650; 9485,Açemezni Katıncıgı Canölmez | Saska | Sokkur Saska | 3:00,Açemezni Katıncıgı Canölmez | Saska | Sokkur Saska | 3:00
