Song Key,Active CSV Line,Staged CSV Line,Title,Artist,Field,Difference Type,Active Value,Staged Value
1 crush || audiomachine and trailerized covers and originals,759,759,#1 Crush,Audiomachine & Trailerized: Covers and Originals,Spotify Track ID,staged_only_value,,3n2r2WPJV3a9LHX8wU9M3b
1 crush || beca 1 crush,1039,1039,#1 Crush,Beca #1 Crush,Spotify Track ID,staged_only_value,,6I3uQChX5ubeZoYzYCrglD
1 ghosts i || nine inch nails,5575,5571,1 Ghosts I,Nine Inch Nails,Spotify Verified,staged_only_value,,Yes
1 ghosts i || nine inch nails,5575,5571,1 Ghosts I,Nine Inch Nails,MusicBrainz Verified,staged_only_value,,Yes
1009 || bonobo,1442,1441,1009,Bonobo,Energy,staged_only_value,,High
1009 || bonobo,1442,1441,1009,Bonobo,BPM,staged_only_value,,129
1009 || bonobo,1442,1441,1009,Bonobo,Vibe,staged_only_value,,Chill
1009 || bonobo,1442,1441,1009,Bonobo,MusicBrainz Verified,staged_only_value,,Yes
1234 || clementine duo and clementine acoustic sessions,1888,1887,1234,Clementine Duo & Clementine Acoustic Sessions,Spotify Track ID,staged_only_value,,2IVM7TvZngyj1YxPTiOsEU
1234 || feist,2881,2878,1234,Feist,Spotify Track ID,staged_only_value,,2CzWeyC9zlDpIOZPUUKrBW
18 and life || cranberries,7722,7716,18 and Life,The Cranberries,Spotify Verified,staged_only_value,,Yes
1901 || birdy and birdy,1249,1249,1901,Birdy & Birdy (Deluxe Version),Spotify Track ID,staged_only_value,,2HVjoeDzbkvoNMJ0ltqKLN
1963 || new order,9217,9210,1963 (Arthur Baker Remix),New Order,Spotify Verified,staged_only_value,,Yes
2001 a spliff odyssey || thievery corporation,8251,8245,2001 A Spliff Odyssey,Thievery Corporation,Spotify Verified,staged_only_value,,Yes
2001 a spliff odyssey || thievery corporation,8251,8245,2001 A Spliff Odyssey,Thievery Corporation,MusicBrainz Verified,staged_only_value,,Yes
212 || azealia banks,808,808,212,Azealia Banks,Spotify Track ID,staged_only_value,,7mDKRYiqejoHzP7dQGxLys
3 play it cool || crazy p,2034,2033,3 Play It Cool,Crazy P,Spotify Track ID,staged_only_value,,73QTWtAYzzLNhkNICcVQxo
3 play it cool || crazy penis,2036,2035,3 Play It Cool,Crazy Penis,Spotify Track ID,staged_only_value,,7nkeog81fVHc5w5uoUL7Jj
