Comparison Key,Active Count,Staged Count,Delta Active Minus Staged
 || fleur ||  || ,0,1,-1
1 crush || garbage || absolute garbage || 4:45,1,0,1
867 5309 jenny || tommy tutone || tommy tutone 2 || 3:46,1,0,1
a deeper silence || steve roach || music for stargazing volume 2 || 73 41 00,0,1,-1
a deeper silence || steve roach || music for stargazing volume 2 || 73:41,1,0,1
ace of spades || motorhead ||  || ,1,2,-1
ace of spades || motorhead || ace of spades || 2:48,1,0,1
air concert prive || electronic music || le manifeste || 59 48 00,0,1,-1
air concert prive || electronic music || le manifeste || 59:48,1,0,1
belfast child || 22 simple minds ||  || ,2,1,1
between a rock and a hard place || rolling stones || steel wheels || 5:25,1,0,1
burnin for you || blue oyster cult ||  || ,1,0,1
burnin for you || blue oyster cult || fire of unknown origin || 4:31,2,1,1
cellophane || 30 fka twigs ||  || ,2,1,1
dangerous || big data || 2 || 4:40,0,1,-1
dangerous || big data || 2 0 || 4:40,1,0,1
debaser || pixies ||  || ,1,2,-1
debaser || pixies || doolittle || 2:51,1,0,1
dream police || cheap trick ||  || ,1,0,1
edge of ocean || ivy || edge of ocean || ,0,1,-1
edge of ocean || ivy || edge of ocean || 4:59,1,0,1
electric co || u2 ||  || ,0,1,-1
electric co || u2 || boy || 4:46,1,0,1
eminence front || who ||  || ,1,0,1
fall into sleep instantly || silent rhythm || ultra relaxing music for sleep || 30 00 00,0,1,-1
fall into sleep instantly || silent rhythm || ultra relaxing music for sleep || 30:00,1,0,1
giant ||  ||  || ,0,2,-2
giant ||  || soul mining || 9:34,1,0,1
glory box || ameritz || name || 3:37,0,1,-1
glory box || ameritz || tribute glory box || 3:37,1,0,1
harder better faster stronger || daft punk ||  || ,0,1,-1
harder better faster stronger || daft punk || discovery || 3:44,1,0,1
heaven || emeli sande || live at royal albert hall || ,0,1,-1
heaven || emeli sande || live at royal albert hall || 4:11,1,0,1
help im alive || metric ||  || ,1,0,1
how soon is now || t a t u || 200 km h in wrong lane || 3:16,2,1,1
i love rock n roll || joan jett ||  || ,0,1,-1
i love rock n roll || joan jett || i love rock n roll || 2:55,1,0,1
im losing you || 2 temptations ||  || ,2,1,1
lessening || gregor samsa || 55 12 || 6:36,1,0,1
lessening || gregor samsa || 55 12 00 || 6:36,0,1,-1
limit to your love || 37 james blake ||  || ,2,1,1
lips like sugar || echo and bunnymen || echo and bunnymen || 4:52,1,0,1
love is stronger than death ||  ||  || ,0,1,-1
love shack || b 52s || time capsule || 5:21,1,0,1
mad about you hooverphonic || beatrice florea || name || 3:44,0,1,-1
mad about you hooverphonic || beatrice florea || singer || 3:44,1,0,1
moments in love || art of noise ||  || ,0,1,-1
moments in love || art of noise || art of noise || 10:15,1,0,1
mr brownstone || motley crue ||  || ,1,2,-1
mr brownstone || motley crue || in concert || ,1,0,1
n w o || ministry ||  || ,0,1,-1
n w o || ministry || ke a h || 5:30,2,1,1
old school || urban cone || 10 18 || 3:03,1,0,1
old school || urban cone || 18 oct || 3:03,0,1,-1
only happy when it rains || garbage ||  || ,1,0,1
opportunities || pet shop boys ||  || ,0,1,-1
opportunities || pet shop boys || please further listening 1984 1986 || 3:43,1,0,1
peaceful night soothing deep sleep music || personal power sleep serenity || peaceful nights || 30 01 00,0,1,-1
peaceful night soothing deep sleep music || personal power sleep serenity || peaceful nights || 30:01,1,0,1
pictures of you || 15 cure ||  || ,2,1,1
planet earth || peder b helland || flying || 31 20 00,0,1,-1
planet earth || peder b helland || flying || 31:20,1,0,1
protection || massive attack ||  || ,0,1,-1
protection || massive attack || protection || 7:14,1,0,1
pumping up clouds || urban cone || 10 18 || 2:56,1,0,1
pumping up clouds || urban cone || 18 oct || 2:56,0,1,-1
roam || b 52s || cosmic thing || 4:55,2,1,1
run || collective soul || live || ,0,1,-1
run || collective soul || live || 4:50,1,0,1
shaut zerk || stervhia ||  || ,1,2,-1
shaut zerk || stervhia || breathe remains ep || ,1,0,1
shout at devil || motley crue ||  || ,1,2,-1
shout at devil || motley crue || shout at devil || 3:14,1,0,1
smokin || boston ||  || ,0,1,-1
smokin || boston || boston || 4:21,2,1,1
staring at sun || u2 || pop || ,0,1,-1
staring at sun || u2 || pop || 4:36,1,0,1
strong || 34 london grammar ||  || ,2,1,1
sun always shines on tv || a ha ||  || ,0,1,-1
sun always shines on tv || a ha || hunting high and low || 5:02,1,0,1
thievery corporation mirror conspiracy || thievery corporation || mirror conspiracy || 57 14 00,0,1,-1
thievery corporation mirror conspiracy || thievery corporation || mirror conspiracy || 57:14,1,0,1
time || peder b helland || time || 39 55 00,0,1,-1
time || peder b helland || time || 39:55,1,0,1
two weeks || 29 fka twigs ||  || ,2,1,1
ultraviolet || u2 ||  || ,0,2,-2
ultraviolet || u2 || achtung baby || 5:30,2,0,2
waiting game || 31 banks ||  || ,2,1,1
walking in l a || missing persons ||  || ,0,1,-1
walking in l a || missing persons || spring session m || 4:00,2,1,1
weird fishes arpeggi || 10 radiohead ||  || ,2,1,1
what i like about you || romantics ||  || ,1,0,1
wild boys || duran duran || greatest || 4:17,2,1,1
wild side || motley crue ||  || ,1,2,-1
wild side || motley crue || girls girls girls || 4:43,1,0,1
winning || 25 sound ||  || ,2,1,1
wire || 20 u2 ||  || ,2,1,1
youve got another thing comin || judas priest || screaming for vengeance || 5:10,1,0,1
