Status,Active CSV Line,Title,Artist,Album,Spotify ID,Spotify Track ID
safe_to_copy_spotify_id_to_spotify_track_id,5,Bye Bye Bye,*NSYNC,Party Animal,62bOmKYxYg7dhrC6gH9vFn,
safe_to_copy_spotify_id_to_spotify_track_id,7,Because the Night,"10,000 Maniacs","Campfire Songs: The Popular, Obscure & Unknown Recordings of 10,000 Maniacs",5VzvK7YiwWbRePA2JOzhYq,
safe_to_copy_spotify_id_to_spotify_track_id,8,Candy Everybody Wants,"10,000 Maniacs",Extended Versions,32xXojNvbRTQ9qfb3mWR69,
safe_to_copy_spotify_id_to_spotify_track_id,9,These Are Days,"10,000 Maniacs",MTV Unplugged (Expanded Edition) [Live],786h4kDeZiX5nYvOwA3wtE,
safe_to_copy_spotify_id_to_spotify_track_id,10,You Oughta Know,1000 Mona Lisas,New Disease (Expanded Edition),57rUSGTPwuiv1EAlcLD5S7,
safe_to_copy_spotify_id_to_spotify_track_id,11,I'm Not In Love,10cc,The Original Soundtrack,5HQEmiV2lKnSO6qa2fsR7x,
safe_to_copy_spotify_id_to_spotify_track_id,13,Get Ready for This (radio edit),2 Unlimited,Pulse,5Nl1flfIHQCG8pyY4gnWU9,
safe_to_copy_spotify_id_to_spotify_track_id,15,California Love,2Pac,20 Years on MTV: 1996,3ia3dJETSOllPsv3LJkE35,
safe_to_copy_spotify_id_to_spotify_track_id,18,Mad World,2WEI,Tommee Profitt Fleurie,4Nl0dkFlwBhkVR0jQSZLi9,
safe_to_copy_spotify_id_to_spotify_track_id,19,Mad World,"2WEI, Tommee Profitt & Fleurie Mad World",Mad World - Single,4Nl0dkFlwBhkVR0jQSZLi9,
safe_to_copy_spotify_id_to_spotify_track_id,22,Kryptonite,3 Doors Down,The Better Life,6ZOBP3NvffbU4SZcrnt1k6,
conflict_spotify_id_differs_from_track_id,23,Surround Me With Your Love (Mental Overdrive remix),3-11 Porter,& Hôtel Costes Hôtel Costes 6,7vmlI8Ifgh1JceLDzVWrub,2TU7Eb1kVi9lkxWWjCy4hv
safe_to_copy_spotify_id_to_spotify_track_id,24,Surround me with your love (Mental Overdrive remix),"3-11 Porter, Hôtel Costes",Hôtel Costes 6,7vmlI8Ifgh1JceLDzVWrub,
safe_to_copy_spotify_id_to_spotify_track_id,25,Caught Up in You,38 Special,Anthology,3jYRpwbctfqB77uU7T7K3U,
already_same,27,Atrophy,3Teeth,Shutdown.ɘxe,76Ls5k0BK8hCOgT8oAqzXH,76Ls5k0BK8hCOgT8oAqzXH
already_same,28,Shutdown,3Teeth,Shutdown.ɘxe,4A2ekPbgWSgjPkFwwDzw3a,4A2ekPbgWSgjPkFwwDzw3a
already_same,29,Les Fleurs,4 Hero,Creating Patterns,4eLKvHDNx4BrJqcAPKerjo,4eLKvHDNx4BrJqcAPKerjo
safe_to_copy_spotify_id_to_spotify_track_id,31,What's Up?,4 Non Blondes,"Bigger, Better, Faster, More !",0jWgAnTrNZmOGmqgvHhZEm,
already_same,32,melancholia,40 Winks,Extended Pleasure,3WOeKzLBAXbhJwShhqngNx,3WOeKzLBAXbhJwShhqngNx
already_same,33,Melancholia (Bonus),40 Winks,"Café del Mar, Vol. 24",3WOeKzLBAXbhJwShhqngNx,3WOeKzLBAXbhJwShhqngNx
safe_to_copy_spotify_id_to_spotify_track_id,34,Missing,48th St. Collective,Jazz and 90s,6iK1xDYLpjs5EqSBuWRFlg,
safe_to_copy_spotify_id_to_spotify_track_id,35,Missing,48th St. Collective & Jazz and 90s,3:44,6iK1xDYLpjs5EqSBuWRFlg,
safe_to_copy_spotify_id_to_spotify_track_id,37,Don't Stop,5 Seconds of Summer,5 Seconds of Summer,57MOpbjOIoWMZnstWOtfm6,
