Source,Comparison Key,CSV Line,Title,Base Title,Artist,Album,Duration,Genre,Year,Original Artist,Cover Song,Orig Artist,Covering Artist,Source Files,Playlists,Original Data,Energy,BPM,Vibe,Discogs Verified,Spotify Verified,MusicBrainz Verified,iTunes Verified,Legacy D Music Spotify ID,Spotify Track ID,Spotify Popularity,Spotify ISRC,Spotify Album,Spotify Release Date,Spotify Duration (ms),Spotify MusicBrainz ID,Spotify BPM,Spotify Key Full,Spotify Energy Level,Spotify Danceability,Spotify Genre,Spotify LastFM Tags,Spotify Vibe,Alternate Albums,Duplicate Merge Notes,Legacy D Music Verification Notes,Legacy D Music Source Files
staged_only, || fleur ||  || ,9471,Шелкопряд,Шелкопряд,Fleur,,,Electronic,,,No,,,spotify_popularity_results.csv,,Spotify Track ID: 0aR6RRxgL33k0nvJp5YOhF | Popularity: 46 | Match Method: exact | LastFM Tags:,High,152,Chill,,Yes,Yes,,,0aR6RRxgL33k0nvJp5YOhF,46,,,,,14442a98-2447-4673-9ad2-9e3681d0abfe,152,D# Major,High,Danceable,Electronic,,Chill,,,,
staged_only,a deeper silence || steve roach || music for stargazing volume 2 || 73 41 00,7118,A Deeper Silence,A Deeper Silence,Steve Roach,"Music for Stargazing, Volume 2",73:41:00,Trip-Hop,2008,,No,,,trip hop songhs long lis2t.txt; drive-download-20260627T091940Z-3-001\TRIP-HOP SONGS GOOD LIST.doc.docx; drive-download-20260627T091940Z-3-001\triphopsonghslonglist.txt.html; spotify_popularity_results.csv; D:\Music\Main_Song_Database,,"Steve Roach"", ""A Deeper Silence"", """"Trip-Hop ; Steve Roach,A Deeper Silence | 1 ; Steve Roach"",""A Deeper Silence",,,,,Yes,Yes,,,5GTEeDNm3Xts2ZFjToIoWn,16,,,,,e61eda24-f522-4fd6-bf58-e580149531a9,,,,,,,,,,Spotify Verified=Yes,"trip hop songhs long lis2t.txt, drive-download-20260627T091940Z-3-001\TRIP-HOP SONGS GOOD LIST.doc.docx, drive-download-20260627T091940Z-3-001\triphopsonghslonglist.txt.html"
staged_only,ace of spades || motorhead ||  || ,9374,Ace of Spades,Ace of Spades,Motorhead,,,Electronic,,,No,,,spotify_popularity_results.csv,,"Spotify Track ID: 3CIOopLwvyMvXk97ZEksKO | Popularity: 77 | Match Method: exact | LastFM Tags: Heavy Metal, Hard Rock, Metal, Rock, Classic Rock",High,138.9,Intense,,Yes,Yes,,,3CIOopLwvyMvXk97ZEksKO,77,,,,,fc67a7c2-9518-40aa-917b-fc889ed5fdb9,138.9,G# Major,High,Not Danceable,Electronic,"Heavy Metal, Hard Rock, Metal, Rock, Classic Rock",Intense,,,,
staged_only,air concert prive || electronic music || le manifeste || 59 48 00,2651,Air - Concert Prive,Air - Concert Prive,Electronic Music,"Le Manifeste (Vol. 1 Mon Européenne, Vol. 2 Lulu, Vol. 3 Les bords de Seine)",59:48:00,,2007,,No,,,merged_playlist.csv; YTMusic\liked_music_playlist (2).csv; YTMusic\liked_music_playlist.csv; D:\Music\Main_Song_Database,,Title: Air - Concert Prive (2007) | Original Artist Col: Electronic Music | Album Col: nan | Duration: 59:48,,,,,,,,,,,,,,,,,,,,,,,,,,"merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv"
staged_only,dangerous || big data || 2 || 4:40,1184,Dangerous (feat. Joywave),Dangerous,Big Data,2,4:40,Electronic,2013,,No,,,"YouTube and YouTube Music/music-uploads/music-uploads-metadata.csv, YTMusic\music-uploads\Dangerous (feat. Joywave).mp3",,Song Title: Dangerous (feat. Joywave) | Album Title: 2.0 | Artist Names: Big Data | Duration Seconds: 280 ; File: Dangerous (feat. Joywave).mp3 | Parsed Title: Dangerous (feat. Joywave) | Parsed Artist: | Parsed Album:,,,,,,,,,,,,,,,,,,,,,,,,,,
staged_only,debaser || pixies ||  || ,9237,Debaser,Debaser,Pixies,,,,,,No,,,"songtrash_song_inventory.md, spotify_popularity_results.csv",,Title: Debaser | Artist: Pixies | Source: songtrash_song_inventory.md,,,,,Yes,Yes,,,5cy5IStIn7OSHDEIgXeDyq,64,,,,,178f0251-dadd-426d-b7d8-cd9b68f331e5,,,,,,"Alternative Rock, Alternative, Indie, Rock, Indie Rock",,,,,
staged_only,edge of ocean || ivy || edge of ocean || ,3726,Edge of the Ocean (Alpha's 'On the Beach' Mix),Edge of the Ocean (Alpha's 'On the Beach' Mix),Ivy,Edge of the Ocean (Playlist: Mixre),,Mixre,2018,,No,,,"music library songs.csv, YouTube and YouTube Music/music-library-songs/music-library-songs.csv, YouTube and YouTube Music\playlists\Mixre.csv",,Video ID: RSIv1HuOvk8 | Song Title: Edge of the Ocean (Alpha's 'On the Beach' Mix) | Album Title: Edge of the Ocean | Artist Name 1: Ivy ; Song URL: https://music.youtube.com/watch?v=RSIv1HuOvk8 | Song Title: Edge of the Ocean (Alpha's 'On the Beach' Mix) | Album Title: Edge of the Ocean | Artist Names: Ivy ; Playlist: Mixre | Video Id: RSIv1HuOvk8 | Time Added: 2018-09-27 01:04:25 UTC,,,,,,,,,,,,,,,,,,,,,,,,,,
staged_only,electric co || u2 ||  || ,9316,The Electric Co,The Electric Co,U2,,,,,,No,,,"songtrash_song_inventory.md, spotify_popularity_results.csv",,Title: The Electric Co | Artist: U2 | Source: songtrash_song_inventory.md,,,,,Yes,Yes,,,29L2FzPckZk2Q0SF8oo7ik,32,,,,,cfc4e569-b6b0-47b6-80c3-66105755525e,,,,,,,,,,,
staged_only,fall into sleep instantly || silent rhythm || ultra relaxing music for sleep || 30 00 00,6853,Fall into Sleep Instantly,Fall into Sleep Instantly,Silent Rhythm,Ultra Relaxing Music for Sleep,30:00:00,New Age,2022,,No,,,music library songs.csv; merged_playlist.csv; YTMusic\liked_music_playlist (2).csv; YTMusic\liked_music_playlist.csv; D:\Music\Main_Song_Database,,Video ID: dAUzQ0UgCYo | Song Title: Fall into Sleep Instantly | Album Title: Ultra Relaxing Music for Sleep | Artist Name 1: Silent Rhythm ; Title: Fall into Sleep Instantly | Original Artist Col: Silent Rhythm Ultra Relaxing Music for Sleep | Album Col: nan | Duration: 30:00,,,,,Yes,,,,,,,,,,,,,,,,,,,,Spotify Verified=Yes,"music library songs.csv, merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv"
staged_only,giant ||  ||  || ,9308,Giant,Giant,The The,,,,,,No,,,songtrash_song_inventory.md,,Title: Giant | Artist: The The | Source: songtrash_song_inventory.md,,,,,,,,,,,,,,,,,,,,,,,,,,
