duplicate_group,classification,recommended_action,recommended_keeper_line,csv_line,Title,Base Title,Artist,Album,Duration,Year,Genre,Source Files,Spotify Track ID,Spotify Popularity,Spotify Album,Spotify Release Date,Spotify Match Method,MusicBrainz Verified,Playlists,usefulness_score
NRG_0001,true_duplicate_same_spotify_track,keep_merge_into_this_row,3106,3106,#1 Crush,#1 Crush,Garbage,Absolute Garbage,4:45,1995.0,Rock,"User Verification List, spotify_popularity_results.csv",0P6USuYzHP8GdAyNKLkTZi,46,,,exact,Yes,NRG,19
NRG_0001,true_duplicate_same_spotify_track,merge_into_recommended_keeper,3106,3107,#1 Crush (Nellee Hooper Mix),#1 Crush (Nellee Hooper Mix),Garbage,Garbage (20th Anniversary Deluxe Edition/Remastered),4:51,1995.0,Rock,"music library songs.csv, merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv, spotify_popularity_results.csv",0P6USuYzHP8GdAyNKLkTZi,46,,,exact,Yes,NRG,19
NRG_0001,true_duplicate_same_spotify_track,merge_into_recommended_keeper,3106,3108,1 Crush,1 Crush,Garbage,Romeo Plus Juliet Soundtrack,4:45,1995.0,Pandora Chill,"Song list thumbed up pandora chill tracks.xlsx, spotify_popularity_results.csv",0P6USuYzHP8GdAyNKLkTZi,46,,,exact,Yes,NRG,19
NRG_0002,true_duplicate_same_spotify_track,keep_merge_into_this_row,8400,8400,867 5309 / Jenny,867 5309 / Jenny,Tommy Tutone,867-5309 / Jenny - Single,3:51,2001.0,Rock,"Book1.csv, spotify_popularity_results.csv",08cX6cPeOywTzqTaLF6lXn,53,,,fuzzy,Yes,NRG,19
NRG_0002,true_duplicate_same_spotify_track,merge_into_recommended_keeper,8400,9319,867-5309 / Jenny,867-5309 / Jenny,Tommy Tutone,,,,,"songtrash_song_inventory.md, spotify_popularity_results.csv",08cX6cPeOywTzqTaLF6lXn,53,,,fuzzy,Yes,NRG,12
NRG_0003,true_duplicate_same_spotify_track,keep_merge_into_this_row,4911,4911,The Beautiful People,The Beautiful People,Marilyn Manson,Antichrist Superstar,3:38,1996.0,Rock,"Book1.csv, spotify_popularity_results.csv",2aIB1CdRRG7YLBu9hNw9nR,77,,,exact,Yes,NRG,20
NRG_0003,true_duplicate_same_spotify_track,merge_into_recommended_keeper,4911,4912,The Beautiful People (album version),The Beautiful People (album version),Marilyn Manson,The Beautiful People,3:35,2004.0,Rock,"YouTube and YouTube Music/music-uploads/music-uploads-metadata.csv, YTMusic\music-uploads\The Beautiful People (album version).mp3, spotify_popularity_results.csv",2aIB1CdRRG7YLBu9hNw9nR,77,,,exact,Yes,NRG,20
NRG_0004,album_or_release_alternate,merge_into_recommended_keeper,5518,5517,Bizarre Love Triangle,Bizarre Love Triangle,New Order,"Brotherhood (Playlist: October 27, 2019)",6:42,2019.0,"October 27, 2019","music library songs.csv, YouTube and YouTube Music/music-uploads/music-uploads-metadata.csv, YouTube and YouTube Music\playlists\October 27, 2019.csv, merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv",,,,,,,NRG,10
NRG_0004,album_or_release_alternate,keep_merge_into_this_row,5518,5518,Bizarre Love Triangle (Extended Dance Mix),Bizarre Love Triangle (Extended Dance Mix),New Order,Bizarre Love Triangle,6:43,1986.0,Electronic,"merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv",,,,,,,NRG,10
NRG_0004,album_or_release_alternate,merge_into_recommended_keeper,5518,5519,Bizarre Love Triangle (Single Remix),Bizarre Love Triangle (Single Remix),New Order,Bizarre Love Triangle,3:45,1986.0,synth-pop,"merged_playlist.csv, YTMusic\11aaz.csv",,,,,,,NRG,10
