Input Title,Input Artist,Spotify Track ID,Popularity,Match Method
Let Me Love You,DJ Snake,0lYBSQXN6rCTvUZvg9S0lU,92,exact
Uptown Funk,Mark Ronson,32OlwWuMpZ6b0aN2RZOeMS,90,fuzzy
Kiss Me More,Doja Cat,3DarAbFujv6eYNliUTyqtz,87,fuzzy
How It's Done,HUNTR/X,3RXUgPNIbUgFxsDWuBQEt6,86,exact
snowfall,Øneheart,4xF4ZBGPZKxECeDFrqSAG4,85,exact
Roses,The Chainsmokers,3vv9phIu6Y1vX3jcqaGz5Z,85,exact
Kickstart My Heart Skid Row,Motley Crue,4Yqy0GpeDEXLibWJCZyQew,84,exact
Kickstart My Heart,Motley Crue,4Yqy0GpeDEXLibWJCZyQew,84,exact
No Diggity,Blackstreet,6MdqqkQ8sSC0WB4i8PyRuQ,82,exact
Lean On,Major Lazer,01aTsQoKoeXofSTvKuunzv,82,exact
ily (i love you baby),Surf Mesa,62aP9fBQKYKxi7PDXwcUAS,79,exact
The Power of Love,Huey Lewis,2olVm1lHicpveMAo4AUDRB,79,exact
Let Go,Ark Patrol,47ZktHjhbCcs7VNPsJTib5,79,exact
Ace of Spades,Motorhead,3CIOopLwvyMvXk97ZEksKO,77,exact
Jose Gonzalez,John Mellencamp,67eX1ovaHyVPUinMHeUtIM,76,fuzzy
You & Me (Flume Remix),Flume,3W2ZcrRsInZbjWylOi6KhZ,76,fuzzy
Never Be Like You,Flume,2ZYz5aPLnEkGR1DfWGZGn6,76,exact
Lily,Alan Walker,0lks2Kt9veMOFEAPN0fsqN,75,exact
Sundream,RUFUS DU SOL,7vLdHqkzAl5BDVxphZ7vaO,75,exact
Dr. Feelgood,Motley Crue,5dnwXK73BDZ0H2L06ZrKcE,74,exact
Wild Side,Motley Crue,7zVpUAOuXY7pHHSm21jFEq,73,exact
One Day / Reckoning Song (Wankelmut Remix) [Radio Edit],Asaf Avidan,68rcszAg5pbVaXVvR7LFNh,72,exact
Latch,Disclosure,1DunhgeZSEgWiIYbHqXl0c,72,exact
Shout at the Devil,Motley Crue,4VFNyv0nVew5C878WDsPvE,71,exact
The Fade Out Line,Phoebe Killdeer,7I1v3hLSDCZK4EdGVokFcj,71,exact
