patch_id,patch_action,target_file,Recording ID,Song ID,Playlist,Source,Notes
YTM-PLAYLIST-20260716-0001,append_row,SongDB_v2/playlist_membership.csv,R0B929850DAD1,SBC434D135656,#1 Crush - Early Demo Mix,YouTube Music Takeout,videoID=jzChmQnHmK4; title=Ordinary World; artist=Cyrene; album=Ordinary World; year=2018
YTM-PLAYLIST-20260716-0002,append_row,SongDB_v2/playlist_membership.csv,R655A2F9171EA,S8BC2C16F0875,#1 skit,YouTube Music Takeout,videoID=hJDBRYCDKo4; title=Inner Light; artist=Elderbrook | Bob Moses; album=Inner Light; year=2021
YTM-PLAYLIST-20260716-0003,append_row,SongDB_v2/playlist_membership.csv,R655A2F9171EA,S8BC2C16F0875,#1111,YouTube Music Takeout,videoID=hJDBRYCDKo4; title=Inner Light; artist=Elderbrook | Bob Moses; album=Inner Light; year=2021
YTM-PLAYLIST-20260716-0004,append_row,SongDB_v2/playlist_membership.csv,R655A2F9171EA,S8BC2C16F0875,#chilltunes,YouTube Music Takeout,videoID=hJDBRYCDKo4; title=Inner Light; artist=Elderbrook | Bob Moses; album=Inner Light; year=2021
YTM-PLAYLIST-20260716-0005,append_row,SongDB_v2/playlist_membership.csv,R655A2F9171EA,S8BC2C16F0875,#patio,YouTube Music Takeout,videoID=hJDBRYCDKo4; title=Inner Light; artist=Elderbrook | Bob Moses; album=Inner Light; year=2021
YTM-PLAYLIST-20260716-0006,append_row,SongDB_v2/playlist_membership.csv,R655A2F9171EA,S8BC2C16F0875,1jtumes,YouTube Music Takeout,videoID=hJDBRYCDKo4; title=Inner Light; artist=Elderbrook | Bob Moses; album=Inner Light; year=2021
YTM-PLAYLIST-20260716-0007,append_row,SongDB_v2/playlist_membership.csv,R655A2F9171EA,S8BC2C16F0875,1nrg,YouTube Music Takeout,videoID=hJDBRYCDKo4; title=Inner Light; artist=Elderbrook | Bob Moses; album=Inner Light; year=2021
YTM-PLAYLIST-20260716-0008,append_row,SongDB_v2/playlist_membership.csv,R655A2F9171EA,S8BC2C16F0875,1patio,YouTube Music Takeout,videoID=hJDBRYCDKo4; title=Inner Light; artist=Elderbrook | Bob Moses; album=Inner Light; year=2021
YTM-PLAYLIST-20260716-0009,append_row,SongDB_v2/playlist_membership.csv,R655A2F9171EA,S8BC2C16F0875,2nrg,YouTube Music Takeout,videoID=hJDBRYCDKo4; title=Inner Light; artist=Elderbrook | Bob Moses; album=Inner Light; year=2021
YTM-PLAYLIST-20260716-0010,append_row,SongDB_v2/playlist_membership.csv,R655A2F9171EA,S8BC2C16F0875,9royals,YouTube Music Takeout,videoID=hJDBRYCDKo4; title=Inner Light; artist=Elderbrook | Bob Moses; album=Inner Light; year=2021
YTM-PLAYLIST-20260716-0011,append_row,SongDB_v2/playlist_membership.csv,R655A2F9171EA,S8BC2C16F0875,Pumphouse,YouTube Music Takeout,videoID=hJDBRYCDKo4; title=Inner Light; artist=Elderbrook | Bob Moses; album=Inner Light; year=2021
YTM-PLAYLIST-20260716-0012,append_row,SongDB_v2/playlist_membership.csv,R655A2F9171EA,S8BC2C16F0875,Pumphouse3,YouTube Music Takeout,videoID=hJDBRYCDKo4; title=Inner Light; artist=Elderbrook | Bob Moses; album=Inner Light; year=2021
YTM-PLAYLIST-20260716-0013,append_row,SongDB_v2/playlist_membership.csv,R655A2F9171EA,S8BC2C16F0875,aaapart,YouTube Music Takeout,videoID=hJDBRYCDKo4; title=Inner Light; artist=Elderbrook | Bob Moses; album=Inner Light; year=2021
YTM-PLAYLIST-20260716-0014,append_row,SongDB_v2/playlist_membership.csv,R3A8F37B8062B,S2A56AC943200,#1 skit,YouTube Music Takeout,videoID=3h-JYx76QNM; title=Teardrop; artist=Massive Attack | Elizabeth Fraser; album=Mezzanine; year=1998
