patch_id,target_file,match_column,match_value,target_column,old_value,new_value,source_patch_file,approval_basis,local_backup_path,local_applied_at
RECORDINGS-WARNING-20260716-0001,SongDB_v2/recordings.csv,Recording ID,R0473FAE6474F,Data Quality Notes,,"Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/recordings_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
RECORDINGS-WARNING-20260716-0002,SongDB_v2/recordings.csv,Recording ID,R059F3AE06DC5,Data Quality Notes,,"Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/recordings_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
RECORDINGS-WARNING-20260716-0003,SongDB_v2/recordings.csv,Recording ID,R12C195E9B862,Data Quality Notes,,"Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/recordings_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
RECORDINGS-WARNING-20260716-0004,SongDB_v2/recordings.csv,Recording ID,R156F61BAE781,Data Quality Notes,,"Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/recordings_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
RECORDINGS-WARNING-20260716-0005,SongDB_v2/recordings.csv,Recording ID,R17842F2F7649,Data Quality Notes,,"Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/recordings_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
RECORDINGS-WARNING-20260716-0006,SongDB_v2/recordings.csv,Recording ID,R215FED919D97,Data Quality Notes,,"Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/recordings_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
RECORDINGS-WARNING-20260716-0007,SongDB_v2/recordings.csv,Recording ID,R30316DA4C0ED,Data Quality Notes,,"Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/recordings_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
RECORDINGS-WARNING-20260716-0008,SongDB_v2/recordings.csv,Recording ID,R30C8122D90E3,Data Quality Notes,,"Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/recordings_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
RECORDINGS-WARNING-20260716-0009,SongDB_v2/recordings.csv,Recording ID,R371F3F5545BE,Data Quality Notes,,"Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/recordings_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
RECORDINGS-WARNING-20260716-0010,SongDB_v2/recordings.csv,Recording ID,R37B162455C57,Data Quality Notes,,"Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/recordings_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
