patch_id,target_file,match_column,match_value,target_column,old_value,new_value,source_patch_file,approval_basis,local_backup_path,local_applied_at
RECORDINGS-SCALAR-20260716-0001,SongDB_v2/recordings.csv,Recording ID,R0473FAE6474F,Title,I Think It´S,I Think It'S,local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
RECORDINGS-SCALAR-20260716-0002,SongDB_v2/recordings.csv,Recording ID,R0473FAE6474F,Canonical Title,I Think It´S,I Think It'S,local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
RECORDINGS-SCALAR-20260716-0003,SongDB_v2/recordings.csv,Recording ID,R059F3AE06DC5,Title,Slowthai feat Kamaal Williams & Grace Acladna  - Glory Box (Portishead) in the 1Xtra Live Lounge,Slowthai feat Kamaal Williams & Grace Acladna - Glory Box (Portishead) in the 1Xtra Live Lounge,local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
RECORDINGS-SCALAR-20260716-0004,SongDB_v2/recordings.csv,Recording ID,R12C195E9B862,Title,The Gaze (시선),The Gaze (시선),local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
RECORDINGS-SCALAR-20260716-0005,SongDB_v2/recordings.csv,Recording ID,R12C195E9B862,Canonical Title,The Gaze (시선),The Gaze (시선),local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
RECORDINGS-SCALAR-20260716-0006,SongDB_v2/recordings.csv,Recording ID,R156F61BAE781,Genre,"Trip-Hop ""
40 Winks","Trip-Hop "" 40 Winks",local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
RECORDINGS-SCALAR-20260716-0007,SongDB_v2/recordings.csv,Recording ID,R17842F2F7649,Album,La Femme D´Argent,La Femme D'Argent,local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
RECORDINGS-SCALAR-20260716-0008,SongDB_v2/recordings.csv,Recording ID,R215FED919D97,Title,The XX   Intro long version],The XX Intro long version],local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
RECORDINGS-SCALAR-20260716-0009,SongDB_v2/recordings.csv,Recording ID,R215FED919D97,Canonical Title,The XX   Intro long version],The XX Intro long version],local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
RECORDINGS-SCALAR-20260716-0010,SongDB_v2/recordings.csv,Recording ID,R30316DA4C0ED,Artist,"Uriel And His Instrumental Piano Pop Hit´s, Vol. 1","Uriel And His Instrumental Piano Pop Hit's, Vol. 1",local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
RECORDINGS-SCALAR-20260716-0011,SongDB_v2/recordings.csv,Recording ID,R30C8122D90E3,Artist,La Femme D´Argent feat. 3:03,La Femme D'Argent feat. 3:03,local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
RECORDINGS-SCALAR-20260716-0012,SongDB_v2/recordings.csv,Recording ID,R30C8122D90E3,Covering Artist,La Femme D´Argent feat. 3:03,La Femme D'Argent feat. 3:03,local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
RECORDINGS-SCALAR-20260716-0013,SongDB_v2/recordings.csv,Recording ID,R371F3F5545BE,Title,Slowthai feat Kamaal Williams & Grace Acladna  - Glory Box (Portishead) in the 1Xtra Live Lounge,Slowthai feat Kamaal Williams & Grace Acladna - Glory Box (Portishead) in the 1Xtra Live Lounge,local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
RECORDINGS-SCALAR-20260716-0014,SongDB_v2/recordings.csv,Recording ID,R37B162455C57,Title,Billy Idol -  Rebel Yell (Live In New York),Billy Idol - Rebel Yell (Live In New York),local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
