patch_id,target_file,match_column,match_value,target_column,old_value,new_value,source_patch_file,approval_basis,local_backup_path,local_applied_at
SONGS-WARNING-20260716-0001,SongDB_v2/songs.csv,Song ID,S20E98ECB8190,Notes,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.,"Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists. Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/songs_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
SONGS-WARNING-20260716-0002,SongDB_v2/songs.csv,Song ID,S21798A69C51B,Notes,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.,"Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists. Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/songs_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
SONGS-WARNING-20260716-0003,SongDB_v2/songs.csv,Song ID,S22E0E7547A41,Notes,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.,"Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists. Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/songs_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
SONGS-WARNING-20260716-0004,SongDB_v2/songs.csv,Song ID,S3636B275C07D,Notes,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.,"Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists. Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/songs_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
SONGS-WARNING-20260716-0005,SongDB_v2/songs.csv,Song ID,S3DE1E50E7F6F,Notes,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.,"Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists. Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/songs_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
SONGS-WARNING-20260716-0006,SongDB_v2/songs.csv,Song ID,S41016C1F510D,Notes,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.,"Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists. Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/songs_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
SONGS-WARNING-20260716-0007,SongDB_v2/songs.csv,Song ID,S423351E63D58,Notes,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.,"Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists. Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/songs_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
SONGS-WARNING-20260716-0008,SongDB_v2/songs.csv,Song ID,S45B73560B7E1,Notes,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.,"Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists. Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/songs_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
SONGS-WARNING-20260716-0009,SongDB_v2/songs.csv,Song ID,S4BB5FF37A565,Notes,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.,"Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists. Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/songs_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
SONGS-WARNING-20260716-0010,SongDB_v2/songs.csv,Song ID,S5F3EF66187A9,Notes,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.,"Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists. Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/songs_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
SONGS-WARNING-20260716-0011,SongDB_v2/songs.csv,Song ID,S615B309294F6,Notes,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.,"Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists. Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/songs_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
SONGS-WARNING-20260716-0012,SongDB_v2/songs.csv,Song ID,S6229C0C26829,Notes,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.,"Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists. Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/songs_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
SONGS-WARNING-20260716-0013,SongDB_v2/songs.csv,Song ID,S69ACE48B7951,Notes,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.,"Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists. Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/songs_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
SONGS-WARNING-20260716-0014,SongDB_v2/songs.csv,Song ID,S6B8E49B1CAA2,Notes,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.,"Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists. Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/songs_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
SONGS-WARNING-20260716-0015,SongDB_v2/songs.csv,Song ID,S6F95589E6977,Notes,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.,"Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists. Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/songs_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
SONGS-WARNING-20260716-0016,SongDB_v2/songs.csv,Song ID,S740A6DAEA3F3,Notes,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.,"Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists. Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/songs_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
SONGS-WARNING-20260716-0017,SongDB_v2/songs.csv,Song ID,S89675EA9BCD3,Notes,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.,"Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists. Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/songs_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
SONGS-WARNING-20260716-0018,SongDB_v2/songs.csv,Song ID,S8F5823B15FB3,Notes,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.,"Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists. Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/songs_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
SONGS-WARNING-20260716-0019,SongDB_v2/songs.csv,Song ID,S943969F2DD5A,Notes,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.,"Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists. Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/songs_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
SONGS-WARNING-20260716-0020,SongDB_v2/songs.csv,Song ID,S9885AFC4AD8E,Notes,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.,"Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists. Ambiguous/unofficial or cover-song release; scalar cleanup is provisional normalization, not source-verified identity metadata.",data/patches/songs_scalar_cleanup_20260716.csv,User directed ambiguous/unofficial or cover-song cleanup examples should be warning-flagged rather than treated as authoritative verification,,2026-07-16
