patch_id,target_file,match_column,match_value,target_column,old_value,new_value,source_patch_file,approval_basis,local_backup_path,local_applied_at
SONGS-SCALAR-20260716-0001,SongDB_v2/songs.csv,Song ID,S20E98ECB8190,Canonical Title,"Chillout Lounge - Calm & Relaxing Background Music | Study, Work, Sleep, Meditation, Chill




          Live","Chillout Lounge - Calm & Relaxing Background Music | Study, Work, Sleep, Meditation, Chill Live",local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
SONGS-SCALAR-20260716-0002,SongDB_v2/songs.csv,Song ID,S21798A69C51B,Canonical Artist,"Uriel And His Instrumental Piano Pop Hit´s, Vol. 1","Uriel And His Instrumental Piano Pop Hit's, Vol. 1",local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
SONGS-SCALAR-20260716-0003,SongDB_v2/songs.csv,Song ID,S22E0E7547A41,Preferred Primary Release,"Artilleria Pesada,  Presenta:","Artilleria Pesada, Presenta:",local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
SONGS-SCALAR-20260716-0004,SongDB_v2/songs.csv,Song ID,S3636B275C07D,Preferred Primary Release,SMASH – The Singles 1985 – 2020 (2023 Remaster),SMASH - The Singles 1985 - 2020 (2023 Remaster),local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
SONGS-SCALAR-20260716-0005,SongDB_v2/songs.csv,Song ID,S3DE1E50E7F6F,Canonical Title,Tainted Love / Where Did Our Love Go? (Extended Version  / Remastered 2008),Tainted Love / Where Did Our Love Go? (Extended Version / Remastered 2008),local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
SONGS-SCALAR-20260716-0006,SongDB_v2/songs.csv,Song ID,S41016C1F510D,Canonical Artist,𝕭𝖔𝖝𝖔𝖋𝖘𝖈𝖗𝖊𝖆𝖒𝖘.𝗳𝗺,Boxofscreams.fm,local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
SONGS-SCALAR-20260716-0007,SongDB_v2/songs.csv,Song ID,S423351E63D58,Canonical Title,The Gaze (시선),The Gaze (시선),local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
SONGS-SCALAR-20260716-0008,SongDB_v2/songs.csv,Song ID,S45B73560B7E1,Canonical Artist,Slowthai feat Kamaal Williams & Grace Acladna  - Glory Box (Portishead) in the 1Xtra Live Lounge,Slowthai feat Kamaal Williams & Grace Acladna - Glory Box (Portishead) in the 1Xtra Live Lounge,local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
SONGS-SCALAR-20260716-0009,SongDB_v2/songs.csv,Song ID,S4BB5FF37A565,Canonical Title,When You Get Asked To Play Something  🎸  Do THIS 😲🔥,When You Get Asked To Play Something 🎸 Do THIS 😲🔥,local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
SONGS-SCALAR-20260716-0010,SongDB_v2/songs.csv,Song ID,S5F3EF66187A9,Canonical Title,The XX   Intro long version],The XX Intro long version],local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
