Title,Base Title,Artist,Album,Duration,Genre,Year,Original Artist,Cover Song,Orig Artist,Covering Artist,Source Files,Original Data
1979,1979,Smashing Pumpkins,,,,1995,,No,,,Book1.csv,"""1979"" - Smashing Pumpkins (1995)"
6 Underground,6 Underground,Sneaker Pimps,,,,1996,,No,,,Book1.csv,"""6 Underground"" - Sneaker Pimps (1996)"
A Long December,A Long December,Counting Crows,,,,1996,,No,,,Book1.csv,"""A Long December"" - Counting Crows (1996)"
A Murder of One,A Murder of One,Counting Crows,,,,1993,,No,,,Book1.csv,"""A Murder of One"" - Counting Crows (1993)"
Adia,Adia,Sarah McLachlan,,,,1997,,No,,,Book1.csv,"""Adia"" - Sarah McLachlan (1997)"
Africa,Africa,Toto,,,,1982,,No,,,Book1.csv,"""Africa"" - Toto (1982)"
Again,Again,Janet Jackson,,,,1993,,No,,,Book1.csv,"""Again"" - Janet Jackson (1993)"
Against All Odds,Against All Odds,Phil Collins,,,,1984,,No,,,Book1.csv,"""Against All Odds"" - Phil Collins (1984)"
All Through the Night,All Through the Night,Cyndi Lauper,,,,1983,,No,,,Book1.csv,"""All Through the Night"" - Cyndi Lauper (1983)"
Alone,Alone,Heart,,,,1987,,No,,,Book1.csv,"""Alone"" - Heart (1987)"
Angel,Angel,Sarah McLachlan,,,,1997,,No,,,Book1.csv,"""Angel"" - Sarah McLachlan (1997)"
Anna Begins,Anna Begins,Counting Crows,,,,1993,,No,,,Book1.csv,"""Anna Begins"" - Counting Crows (1993)"
Army of Me,Army of Me,Björk,,,,1995,,No,,,Book1.csv,"""Army of Me"" - Björk (1995)"
As I Lay Me Down,As I Lay Me Down,Sophie B. Hawkins,,,,1994,,No,,,Book1.csv,"""As I Lay Me Down"" - Sophie B. Hawkins (1994)"
Avalon,Avalon,Roxy Music,,,,,,No,,,Book1.csv,"""Avalon"" - Roxy Music"
Bare,Bare,Annie Lennox,,,,1992,,No,,,Book1.csv,"""Bare"" - Annie Lennox (1992)"
Barely Breathing,Barely Breathing,Duncan Sheik,,,,1996,,No,,,Book1.csv,"""Barely Breathing"" - Duncan Sheik (1996)"
Better Be Home Soon,Better Be Home Soon,Crowded House,,,,1988,,No,,,Book1.csv,"""Better Be Home Soon"" - Crowded House (1988)"
Between the Bars,Between the Bars,Elliott Smith,,,,1997,,No,,,Book1.csv,"""Between the Bars"" - Elliott Smith (1997)"
Big Log,Big Log,Robert Plant,,,,1983,,No,,,Book1.csv,"""Big Log"" - Robert Plant (1983)"
Big Love,Big Love,Fleetwood Mac,,,,1987,,No,,,Book1.csv,"""Big Love"" - Fleetwood Mac (1987)"
Bizarre Love Triangle,Bizarre Love Triangle,New Order,,,,1986,,No,,,Book1.csv,"""Bizarre Love Triangle"" - New Order (1986)"
Black Hole Sun,Black Hole Sun,Soundgarden,,,,1994,,No,,,Book1.csv,"""Black Hole Sun"" - Soundgarden (1994)"
Black Metallic,Black Metallic,Catherine Wheel,,,,1992,,No,,,Book1.csv,"""Black Metallic"" - Catherine Wheel (1992)"
Black,Black,Pearl Jam,,,,1991,,No,,,Book1.csv,"""Black"" - Pearl Jam (1991)"
Blood of Eden,Blood of Eden,Peter Gabriel,,,,1992,,No,,,Book1.csv,"""Blood of Eden"" - Peter Gabriel (1992)"
Bloodstream,Bloodstream,Stateless,,,,,,No,,,Book1.csv,"""Bloodstream"" - Stateless"
Blue Monday,Blue Monday,New Order,,,,1983,,No,,,Book1.csv,"""Blue Monday"" - New Order (1983)"
Blue,Blue,Joni Mitchell (1971,,,,1971,,No,,,Book1.csv,"""Blue"" - Joni Mitchell (1971"
Boys of Summer,Boys of Summer,Don Henley,,,,1984,,No,,,Book1.csv,"""Boys of Summer"" - Don Henley (1984)"
Breakout,Breakout,Swing Out Sister,,,,1986,,No,,,Book1.csv,"""Breakout"" - Swing Out Sister (1986)"
Brick,Brick,Ben Folds Five,,,,1997,,No,,,Book1.csv,"""Brick"" - Ben Folds Five (1997)"
Buena,Buena,Morphine,,,,1993,,No,,,Book1.csv,"""Buena"" - Morphine (1993)"
Building a Mystery,Building a Mystery,Sarah McLachlan,,,,1997,,No,,,Book1.csv,"""Building a Mystery"" - Sarah McLachlan (1997)"
