key,canonical_count,legacy_count,legacy_sample
california love | 2pac,3,3,California Love / 2Pac
melancholia | 40 winks,2,2,melancholia / 40 Winks
missing | 48th st collective,2,2,Missing / 48th St. Collective
take on me | a ha,5,5,Take On Me / a ha
sun always shines on tv | a ha,2,2,The Sun Always Shines on TV / a ha
every breath you take | aaron krause,3,3,Every Breath You Take (feat. Liza Anne) / Aaron Krause
look of love pt 1 | abc,2,2,"The Look Of Love, Pt.1 / ABC"
goody two shoes | adam ant,2,2,Goody Two Shoes / Adam Ant
dont you remember | adele,2,2,Don't You Remember / Adele
lovesong | adele,2,2,Lovesong / Adele
your love | adina v,2,2,Your Love / Adina V
your love | adina v and acoustic room,2,2,Your Love / Adina V & The Acoustic Room
tool sober acoustic cover | advosary,2,2,"Tool ""Sober"" acoustic cover / Advosary"
breather 2000 | afterlife,2,2,Breather 2000 / Afterlife
dub in ya mind | afterlife,2,2,Dub In Ya Mind / Afterlife
enjoy silence | agnes vanilla,2,2,Enjoy the Silence / Agnès Vanilla
cold water music | aim,2,2,Cold Water Music / Aim
all i need | air,2,2,All I Need / Air
cherry blossom girl | air,2,2,Cherry Blossom Girl / Air
how does it make you feel | air,2,2,How Does It Make You Feel? / Air
new star in sky | air,2,2,New Star In The Sky / Air
playground love | air,2,2,Playground Love / Air
forgiven | alanis morissette,2,2,Forgiven / Alanis Morissette
head over feet | alanis morissette,2,2,Head Over Feet / Alanis Morissette
walking on a dream | alex cornell,2,2,Walking on a Dream / Alex Cornell
bring me to life | alex goot,2,2,Bring Me To Life (Acoustic) / Alex Goot
scientist | alex goot,2,2,The Scientist / Alex Goot
scientist | alex goot and jada facer,2,2,The Scientist / Alex Goot & Jada Facer
bring me to life | alex goot julia sheer and kurt hugo schneider,2,2,"Bring Me to Life / Alex Goot, Julia Sheer & Kurt Hugo Schneider"
my immortal | alex goot julia sheer and kurt hugo schneider,2,2,"My Immortal / Alex Goot, Julia Sheer & Kurt Hugo Schneider"
better off alone | alice deejay,2,2,Better Off Alone / Alice DeeJay
cannonball | alice lamb,2,2,Cannonball / Alice Lamb
run to you | alice lamb,2,2,Run to You / Alice Lamb
walk on wild side | alice reed,2,2,Walk on the Wild Side / Alice Reed
white rabbit | alixandrea corvyn,2,2,White Rabbit / Alixandrea Corvyn
billie jean | allie sherlock,2,2,Billie Jean (feat. Fabio Rodrigues) / Allie Sherlock
complicated | allie sherlock,2,2,Complicated / Allie Sherlock
feeling good | allie sherlock,2,2,Feeling Good / Allie Sherlock
i will survive | allie sherlock,3,3,I Will Survive / Allie Sherlock
billie jean | allie sherlock and fabio rodrigues,2,2,Billie Jean / Allie Sherlock & Fabio Rodrigues
firefly | alpha,2,2,Firefly / Alpha
tessellate | alt j,2,2,Tessellate / alt-J
only happy when it rains | amazonics,2,2,Only Happy When It Rains / Amazonics
yellow | amber leigh irish,3,3,Yellow / Amber Leigh Irish
erase rewind | amkosman,2,2,Erase/Rewind / AMKosman
bloodstone | amon tobin,2,2,Bloodstone / Amon Tobin
going to california | amy lee,2,2,Going to California / Amy Lee
bend ane stajdohar ready to go | ana stajdohar,3,3,"Bend Ane Stajdohar - Ready To Go (Republica, cover) / Ana Stajdohar"
right now | anakelly,2,2,Right Now / Anakelly
going to california | anchor bell,2,2,Going to California / Anchor + Bell
karma police | anchor bell,2,2,Karma Police / Anchor + Bell
forever young | andrea von kampen,2,2,Forever Young / Andrea von Kampen
only love can break your heart | angie hart,2,2,Only Love Can Break Your Heart / Angie Hart
there is a light that never goes out | angie hart,2,2,There Is a Light That Never Goes Out / Angie Hart
youre one that i want | angus and julia stone,2,2,You're the One That I Want / Angus & Julia Stone
dancing with tears in my eyes | anna ternheim,2,2,Dancing with Tears in My Eyes / Anna Ternheim
im on fire | anna ternheim,2,2,I'm on Fire / Anna Ternheim
like a stone | anthony vincent,3,3,Like a Stone / Anthony Vincent
man in box | anthony vincent,3,3,Man in the Box / Anthony Vincent
smells like teen spirit | anthony vincent,2,2,Smells Like Teen Spirit / Anthony Vincent
would | anthony vincent,3,3,Would (feat. Violet Orlandi) / Anthony Vincent
wanted dead or alive | april kelly,2,2,Wanted Dead or Alive / April Kelly
do i wanna know | arctic monkeys,2,2,Do I Wanna Know? / Arctic Monkeys
electric feel | ari gumora,2,2,Electric Feel / Ari Gumora
not an addict | arnold t,2,2,Not an Addict / Arnold T
dont go | atrocity,2,2,Don't Go / Atrocity
dont your forget about me | atrocity,2,2,Don't Your Forget About Me / Atrocity
lets dance | atrocity,2,2,Let's Dance / Atrocity
wild boys | atrocity,2,2,Wild Boys / Atrocity
1 crush | audiomachine,2,2,#1 Crush / Audiomachine
edge of seventeen | audiomachine,2,2,Edge of Seventeen / Audiomachine
you spin me round | auralnauts,3,3,You Spin Me Round (feat. Silver Letomi) / Auralnauts
im on fire | awolnation,2,2,I'm On Fire / AWOLNATION
sail | awolnation,2,2,Sail / AWOLNATION
angel | axioma,2,2,Angel / Axioma
cruel summer | bananarama,2,2,Cruel Summer / Bananarama
how much i feel | banda do sul,2,2,How Much I Feel / Banda Do Sul
nouvelle vague | bande a part,2,2,Nouvelle Vague / Bande a Part
ben howard covers call me maybe in live lounge | bbc radio 1,2,2,Ben Howard covers Call Me Maybe in the Live Lounge / BBC Radio 1
daley do i wanna know | bbc radio 1,2,2,Daley - Do I Wanna Know? (Arctic Monkeys Cover) / BBC Radio 1
dua lipa covers arctic monkeys do i wanna know in live lounge | bbc radio 1,2,2,Dua Lipa covers Arctic Monkeys Do I Wanna Know? in the Live Lounge / BBC Radio 1
half moon run mother we share | bbc radio 1,2,2,Half Moon Run - Mother We Share (Chvrches cover) / BBC Radio 1
jade bird running up that hill radio 1s piano sessions | bbc radio 1,2,2,Jade Bird - Running Up That Hill (Kate Bush cover) Radio 1's Piano Sessions / BBC Radio 1
jake bugg covers imagine dragons radioactive | bbc radio 1,2,2,Jake Bugg covers Imagine Dragons' Radioactive (Live Lounge) / BBC Radio 1
laura mvula yellow in live lounge | bbc radio 1,2,2,Laura Mvula - Yellow in the Live Lounge / BBC Radio 1
liam gallagher champagne supernova radio 1 piano sessions | bbc radio 1,2,2,Liam Gallagher - Champagne Supernova - Radio 1 Piano Sessions / BBC Radio 1
london grammar wrecking ball in live lounge | bbc radio 1,2,2,London Grammar - Wrecking Ball in the Live Lounge / BBC Radio 1
london grammar cover princes purple rain in live lounge | bbc radio 1,2,2,London Grammar cover Prince's Purple Rain in the Live Lounge / BBC Radio 1
miley cyrus covers summertime sadness in live lounge | bbc radio 1,2,2,Miley Cyrus covers Summertime Sadness in the Live Lounge / BBC Radio 1
ms mr do i wanna know in live lounge late | bbc radio 1,2,2,MS MR - Do I Wanna Know? in the Live Lounge Late / BBC Radio 1
phoebe bridgers x arlo parks fake plastic trees radio 1 piano session | bbc radio 1,2,2,Phoebe Bridgers x Arlo Parks - Fake Plastic Trees (Radiohead) - Radio 1 Piano Session / BBC Radio 1
plan b feel it still in live lounge | bbc radio 1,2,2,Plan B - Feel It Still (Portugal. The Man cover) in the Live Lounge / BBC Radio 1
rita ora like a virgin in live lounge | bbc radio 1,2,2,Rita Ora - Like A Virgin (Madonna cover) in the Live Lounge / BBC Radio 1
rizzle kicks summertime sadness | bbc radio 1,2,2,Rizzle Kicks - Summertime Sadness (Lana Del Rey cover) / BBC Radio 1
two door cinema club bad guy in live lounge | bbc radio 1,2,2,Two Door Cinema Club - Bad Guy (Billie Eilish) in the Live Lounge / BBC Radio 1
usher pumped up kicks in radio 1 live lounge | bbc radio 1,2,2,Usher - Pumped Up Kicks in the Radio 1 Live Lounge / BBC Radio 1
vic mensa karma police radio 1s piano sessions | bbc radio 1,2,2,Vic Mensa - Karma Police (Radiohead cover) - Radio 1's Piano Sessions / BBC Radio 1
jessie j covers michael jacksons rock with you | bbc radio 1xtra,2,2,Jessie J covers Michael Jackson's Rock With You / BBC Radio 1Xtra
meridian dan blinded by lights in 1xtra live lounge | bbc radio 1xtra,2,2,Meridian Dan - Blinded By The Lights in the 1Xtra Live Lounge / BBC Radio 1Xtra
5 seconds of summer no roots in live lounge | bbcradio1vevo,2,2,5 Seconds of Summer - No Roots (Alice Merton Cover) in the Live Lounge / BBCRadio1VEVO
blossoms in da club in live lounge | bbcradio1vevo,2,2,Blossoms - In Da Club (50 Cent cover) in the Live Lounge / BBCRadio1VEVO
blossoms man in live lounge | bbcradio1vevo,2,2,Blossoms - The Man (The Killers cover) in the Live Lounge / BBCRadio1VEVO
enter shikari supermassive black hole | bbcradio1vevo,2,2,Enter Shikari - Supermassive Black Hole (Muse cover in the Live Lounge) / BBCRadio1VEVO
george ezra girls just wanna have fun cover in live lounge | bbcradio1vevo,2,2,George Ezra - Girls Just Wanna Have Fun cover in the Live Lounge / BBCRadio1VEVO
george ezra i try | bbcradio1vevo,2,2,George Ezra - I Try (Macy Gray cover in the Live Lounge) / BBCRadio1VEVO
harry styles chain in live lounge | bbcradio1vevo,2,2,Harry Styles - The Chain (Fleetwood Mac cover) in the Live Lounge / BBCRadio1VEVO
lorde in air tonight | bbcradio1vevo,2,2,Lorde - In The Air Tonight (Phil Collins cover in the Live Lounge) / BBCRadio1VEVO
running up that hill in live lounge | bbcradio1vevo,2,2,Running Up That Hill in the Live Lounge / BBCRadio1VEVO
killers fame in live lounge | bbcradio1vevo,2,2,The Killers - Fame (David Bowie cover) in the Live Lounge / BBCRadio1VEVO
torn | bbcradio1vevo,2,2,Torn (Natalie Imbruglia cover in the Live Lounge) / BBCRadio1VEVO
wolf alice good riddance | bbcradio1vevo,2,2,Wolf Alice - Good Riddance (Time Of Your Life) (Green Day cover) [Live in the Live Lounge] / BBCRadio1VEVO
mad about you hooverphonic | beatrice florea,2,2,Mad About You - Hooverphonic (by Beatrice Florea) / Beatrice Florea
do i wanna know | beau luci,2,2,Do I Wanna Know? / Beau + Luci
old man | beck,2,2,Old Man / Beck
do i wanna know | ben weighill,2,2,Do I Wanna Know? (Acoustic) / Ben Weighill
billie jean | berk and virtual band,2,2,Billie Jean / Berk & The Virtual Band
englishman in new york | berk and virtual band,2,2,Englishman in New York / Berk & The Virtual Band
enjoy silence | berk and virtual band,2,2,Enjoy the Silence / Berk & The Virtual Band
forever young | berk and virtual band,2,2,Forever Young / Berk & The Virtual Band
personal jesus | berk and virtual band,2,2,Personal Jesus / Berk & The Virtual Band
relax | berk and virtual band,3,3,Relax / Berk & The Virtual Band
roxanne | berk and virtual band,2,2,Roxanne / Berk & The Virtual Band
send me an angel | berk and virtual band,2,2,Send Me an Angel / Berk & The Virtual Band
take on me | berk and virtual band,3,3,Take on Me / Berk & The Virtual Band
viva la vida | berk and virtual band,2,2,Viva la Vida / Berk & The Virtual Band
wonderwall | berk and virtual band,2,2,Wonderwall / Berk & The Virtual Band
a little respect | beth,2,2,A Little Respect / Beth
kashmir | beth hart,2,2,Kashmir / Beth Hart
no quarter | beth hart,2,2,No Quarter / Beth Hart
rain song | beth hart,2,2,The Rain Song / Beth Hart
concrete sky | beth orton,2,2,Concrete Sky / Beth Orton
6 underground sneaker pimps beyond hyperion | beyond hyperion,2,2,6 Underground - Sneaker Pimps (Drum and Bass Remix) - Beyond Hyperion / Beyond Hyperion
in a big country | big country,3,3,In A Big Country / Big Country
dangerous | big data,2,2,Dangerous / Big Data
lovely day | bill withers,2,2,Lovely Day / Bill Withers
like a prayer | billboard top 100 hits,2,2,Like a Prayer (Acoustic Version) [Madonna Cover] / Billboard Top 100 Hits
dancing with myself | billy idol,2,2,Dancing With Myself / Billy Idol
eyes without a face | billy idol,2,2,Eyes Without A Face / Billy Idol
rebel yell | billy idol,3,3,Rebel Yell / Billy Idol
1901 | birdy,2,2,1901 / Birdy
i only want to be with you | birdy,2,2,I Only Want to Be with You / Birdy
when doves cry | birdy,3,3,When Doves Cry / Birdy
young blood | birdy,2,2,Young Blood / Birdy
all is full of love | bjork,2,2,All Is Full of Love / Bjork
army of me | bjork,3,3,Army Of Me / Bjork
big time sensuality | bjork,2,2,Big Time Sensuality / Bjork
human behaviour | bjork,2,2,Human Behaviour / Bjork
hyperballad | bjork,2,2,Hyperballad / Bjork
hidden place | bjork,2,1,Hidden Place / Björk
joga | bjork,2,1,Joga / Björk
possibly maybe | bjork,2,1,Possibly Maybe / Björk
venus as a boy | bjork,2,1,Venus As A Boy / Björk
beyond time | blank and jones,2,2,Beyond Time (Ambient edit) / Blank & Jones
erase rewind | blank and jones,3,3,Erase / Rewind (feat. Zoe Durrant) / Blank & Jones
call me | blondie,2,2,Call Me / Blondie
heart of glass | blondie,3,3,Heart of Glass / Blondie
remember me | blue boy,2,2,Remember Me / Blue Boy
burnin for you | blue oyster cult,1,3,Burnin' for You / Blue Oyster Cult
godzilla | blue oyster cult,2,2,Godzilla (live) / Blue Oyster Cult
blue spanish sky | blue oyster cult,2,1,Blue Spanish Sky / Blue Öyster Cult
desire | bob moses,2,2,Desire / Bob Moses
save a prayer | bob moses,3,3,Save a Prayer / Bob Moses
tearing me up | bob moses,2,2,Tearing Me Up / Bob Moses
desire | bob moses zhu,2,2,"Desire / Bob Moses, ZHU"
africa | bobby kimball,2,2,Africa / Bobby Kimball
cool change | bobby kimball,2,2,Cool Change / Bobby Kimball
give a little bit | bobby kimball,2,2,Give a Little Bit / Bobby Kimball
hold line | bobby kimball,2,2,Hold the Line / Bobby Kimball
im not in love | bobby kimball,2,2,I'm Not in Love / Bobby Kimball
rosanna | bobby kimball,2,2,Rosanna / Bobby Kimball
whos crying now | bobby kimball,2,2,Who's Crying Now? / Bobby Kimball
bed of roses | bon jovi,2,2,Bed of Roses / Bon Jovi
under my sensi | boozoo bajou,2,2,Under My Sensi / Boozoo Bajou
smokin | boston,2,2,Smokin / Boston
somebody to love | branches,2,2,Somebody to Love / Branches
diary of jane | breaking benjamin,3,3,The Diary of Jane / Breaking Benjamin
if i had a rocket launcher | bruce cockburn,2,2,If I Had A Rocket Launcher / Bruce Cockburn
sweet disposition | budjerah ngaiire and gretta ray,2,2,"Sweet Disposition / Budjerah, Ngaiire & Gretta Ray"
comedown | bush,3,3,Comedown / Bush
everything zen | bush,3,3,Everything Zen / Bush
gonna make you sweat | c c music factory,2,2,Gonna Make You Sweat / C+C Music Factory
needle and damage done | c c grace,2,2,Needle and the Damage Done / C.C. Grace
cola | camelphat,2,2,Cola (Dark Matter Edit) / CamelPhat
if it makes you happy | carla conrad,2,2,If It Makes You Happy / Carla Conrad
landslide | carly lyman,2,2,Landslide / Carly Lyman
landslide | carly lyman and jason lux,2,2,Landslide / Carly Lyman & Jason Lux
say something | carly rose,2,2,Say Something / Carly Rose
dont let me be misunderstood | carmen gomes inc,2,2,Don't Let Me Be Misunderstood / Carmen Gomes Inc.
yellow | caroline pennell,2,2,Yellow / Caroline Pennell
something about you | cary brothers,3,3,Something About You (feat. Laura Jansen) / Cary Brothers
american soviets | cccp,2,2,American-Soviets / CCCP
pumped up kicks | chamberlin,2,2,Pumped Up Kicks / Chamberlin
wherever you will go | charlene soraia,2,2,Wherever You Will Go / Charlene Soraia
i will always love you | chase holfelder,2,2,I Will Always Love You / Chase Holfelder
under pressure | chase holfelder,2,2,Under Pressure / Chase Holfelder
dream police | cheap trick,1,2,Dream Police / Cheap Trick
flame | cheap trick,2,2,The Flame / Cheap Trick
everybody wants to rule world | chlara,2,2,Everybody Wants to Rule the World / Chlara
chris isaak | chloe foy,2,1,Chris Isaak (the atmospheric cuts) / Chloë Foy
killing moon | chloe foy,2,1,The Killing Moon / Chloë Foy
everybody wants to rule world acoustic cover | christopherjamesmus,2,2,Everybody Wants to Rule the World (Tears For Fears) Acoustic Cover / christopherjamesmus
girls just wanna have fun | chromatics,2,2,Girls Just Wanna Have Fun / Chromatics
im on fire | chromatics,4,4,I'm on Fire / Chromatics
dont turn lights on | chromeo,3,3,Don't Turn the Lights On / Chromeo
do i wanna know | chvrches,3,3,Do I Wanna Know? / CHVRCHES
video killed radio star | cityflash,2,2,Video Killed The Radio Star (Extended mix) / Cityflash
letters from sky | civil twilight,2,2,Letters From The Sky / Civil Twilight
electric feel | clavvs,2,2,Electric Feel / CLAVVS
1234 | clementine duo,2,2,1234 / Clementine Duo
dont stop believing | clementine duo,2,2,Don't Stop Believing / Clementine Duo
fields of gold | clementine duo,2,2,Fields of Gold / Clementine Duo
cherry coloured funk | cocteau twins,2,2,Cherry coloured Funk / Cocteau Twins
clocks | coldplay,3,3,Clocks / Coldplay
fix you | coldplay,3,3,Fix You / Coldplay
trouble | coldplay,2,2,Trouble / Coldplay
high and dry | colin and caroline,2,2,High and Dry / Colin & Caroline
down under | colin hay,2,2,Down Under / Colin Hay
run | collective soul,2,2,Run / Collective Soul
si senor | control machete,2,2,Si Senor / Control Machete
im on fire | corey harper,2,2,I'm on Fire / Corey Harper
sunglasses at night | corey hart,2,2,Sunglasses at Night / Corey Hart
mayonaise | corpse bride,3,3,Mayonaise (feat. Mat) / Corpse Bride
needle and damage done | cortez killer,2,2,The Needle and the Damage Done / Cortez the Killer
supermans song | crash test dummies,4,4,Superman's Song / Crash Test Dummies
ballad of peter pumpkinhead | crash test dummies,3,3,The Ballad Of Peter Pumpkinhead (feat. Ellen Reid) / Crash Test Dummies
roads | crawling for carrion,2,2,Roads / Crawling for Carrion
needle and damage done | crazy horse,2,2,The Needle and the Damage Done / Crazy Horse
somewhere only we know | creamy,2,2,somewhere only we know / creamy
careless whisper | creamy and daddys girl,2,2,Careless Whisper / creamy & daddy's girl
somewhere only we know | creamy and untrusted,2,2,Somewhere Only We Know / creamy & untrusted
better be home soon | crowded house,2,2,Better Be Home Soon / Crowded House
dont dream its over | crowded house,2,2,Don't Dream It's Over / Crowded House
kiss me | cyn,3,3,Kiss Me / Cyn
girls just want to have fun | cyndi lauper,2,2,Girls Just Want to Have Fun / Cyndi Lauper
time after time | cyndi lauper,2,2,Time After Time / Cyndi Lauper
time to pretend | cyrene,4,4,Time to Pretend / Cyrene
around world | daft punk,2,2,Around the World / Daft Punk
harder better faster stronger | daft punk,2,2,"Harder, Better, Faster, Stronger / Daft Punk"
revelation | daikirai,2,2,Revelation / Daikirai
smells like teen spirit | daisy gray,2,2,Smells Like Teen Spirit / Daisy Gray
dont stop believin | dan avidan,2,2,Don't Stop Believin / Dan Avidan
dont stop believin | dan avidan and super guitar bros,2,2,Don't Stop Believin / Dan Avidan & Super Guitar Bros
