"OriginalRelativePath","MovedTo","Length","LastWriteTime"
"basket\needs clen.txt","D:\Music\MusicDB_local_artifacts\phase2_dirty_tree_triage\20260715_022740\basket\needs clen.txt","14592","7/14/2026 2:14:45 AM"
"basket\reverify_spotify.ps1","D:\Music\MusicDB_local_artifacts\phase2_dirty_tree_triage\20260715_022740\basket\reverify_spotify.ps1","888","7/11/2026 4:12:26 PM"
"basket\reverify_spotify.py","D:\Music\MusicDB_local_artifacts\phase2_dirty_tree_triage\20260715_022740\basket\reverify_spotify.py","12681","7/11/2026 4:18:13 PM"
"basket\reverify_spotify_parallel.ps1","D:\Music\MusicDB_local_artifacts\phase2_dirty_tree_triage\20260715_022740\basket\reverify_spotify_parallel.ps1","545","7/11/2026 2:58:41 PM"
"basket\reverify_spotify_parallel.py","D:\Music\MusicDB_local_artifacts\phase2_dirty_tree_triage\20260715_022740\basket\reverify_spotify_parallel.py","8761","7/11/2026 2:58:40 PM"
"basket\run_coverdata_from_spotify_reverified.ps1","D:\Music\MusicDB_local_artifacts\phase2_dirty_tree_triage\20260715_022740\basket\run_coverdata_from_spotify_reverified.ps1","796","7/12/2026 7:18:34 PM"
"basket\watch_coverdata_status.ps1","D:\Music\MusicDB_local_artifacts\phase2_dirty_tree_triage\20260715_022740\basket\watch_coverdata_status.ps1","1359","7/13/2026 10:48:39 AM"
"basket\whosampled_cover_extractor.py","D:\Music\MusicDB_local_artifacts\phase2_dirty_tree_triage\20260715_022740\basket\whosampled_cover_extractor.py","13558","7/7/2026 10:17:20 PM"
"basket\whosampled_cover_extractor_instructions.md","D:\Music\MusicDB_local_artifacts\phase2_dirty_tree_triage\20260715_022740\basket\whosampled_cover_extractor_instructions.md","2341","7/7/2026 10:17:20 PM"
"find_conflicts.ps1","D:\Music\MusicDB_local_artifacts\phase2_dirty_tree_triage\20260715_022740\find_conflicts.ps1","550","7/7/2026 12:36:26 AM"
