Title,Base Title,Artist,Album,Duration,Genre,Year,Original Artist,Cover Song,Orig Artist,Covering Artist,Source Files,Original Data,Energy,BPM,Vibe,Discogs Verified,Spotify Verified,MusicBrainz Verified,iTunes Verified,Spotify ID,Playlists,Spotify Input Title,Spotify Input Artist,Spotify Matched Title,Spotify Matched Artist,Spotify Artist Changed,Spotify Artist Similarity,Spotify Popularity,Spotify Track ID,Spotify Match Method,Spotify Match Score,Spotify Search Strategy,Spotify ISRC,Spotify Album,Spotify Release Date,Spotify Duration (ms),Spotify MusicBrainz ID,Spotify MBID Method,Spotify BPM,Spotify Key,Spotify Scale,Spotify Key Full,Spotify Energy Level,Spotify Danceability,Spotify Vocal Type,Spotify Mood Happy,Spotify Mood Sad,Spotify Mood Aggressive,Spotify Mood Relaxed,Spotify Mood Party,Spotify Genre,Spotify Genre Detail,Spotify LastFM Tags,Spotify Vibe,Spotify AB Source,Alternate Albums,Duplicate Merge Notes
A Thousand Miles,A Thousand Miles,Vanessa Carlton,Be Not Nobody,3:50,,2002.0,,No,,,"merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv",Title: A Thousand Miles - Vanessa Carlton (acoustic) | Original Artist Col: Ant Je | Album Col: nan | Duration: 3:50 | YouTube Music source file; verified via Spotify,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bang Bang,Bang Bang,Monophonics,In Your Brain,3:37,,2012.0,,No,,,"merged_playlist.csv, YTMusic\1theshow.csv",Title: Monophonics - Bang Bang | Original Artist Col: AnnaR21 | Album Col: nan | Duration: 3:37 | YouTube Music source file; verified via iTunes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Because You Move Me,Because You Move Me,"Tinlicker, Helsloot",Because You Move Me,3:17,,2017.0,,No,,,"music library songs.csv, merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv",Video ID: 6RgffY0IB8Q | Song Title: Because You Move Me ; Title: Because You Move Me | Original Artist Col: Tinlicker - Topic | Album Col: nan | Duration: 3:17 | YouTube Music source file; verified via Spotify,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Love (feat. Dr. Dre & Roger Troutman) [Remix],California Love (feat. Dr. Dre & Roger Troutman) [Remix],2Pac,,,,,,No,,,YTMusic\music-uploads\California Love (feat. Dr. Dre _ Roger Troutman).mp3,File: California Love (feat. Dr. Dre _ Roger Troutman).mp3 | Parsed Title: California Love (feat. Dr. Dre Roger Troutman) | Parsed Artist: | Parsed Album: | YouTube Music source file; verified via iTunes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chillout Lounge - Calm & Relaxing Background Music | Study, Work, Sleep, Meditation, Chill
    
      
        
        
          Live","Chillout Lounge - Calm & Relaxing Background Music | Study, Work, Sleep, Meditation, Chill
    
      
        
        
          Live",The Good Life Radio x Sensual Musique,Pure Relaxing Chillout Music,2:33,,2019.0,,No,,,"merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv","Title: Chillout Lounge - Calm & Relaxing Background Music | Study, Work, Sleep, Meditation, Chill
    
      
        
        
          Live | Original Artist Col: The Good Life Radio x Sensual Musique | Album Col: nan | Duration: nan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clumsy feat. Michael Stipe,Clumsy feat. Michael Stipe,Stéphane Pompougnac,,,,,,No,,,spotify_popularity_results.csv,Spotify Track ID: 1J2oQWXPLE4a3xnQDn5VDi | Popularity: 0 | Match Method: exact | LastFM Tags: | verified via Spotify,,,,,Yes,,,,,Clumsy Feat. Michael Stipe,Stephane Pompougnac,Clumsy feat. Michael Stipe,Stéphane Pompougnac,NO,1,0,1J2oQWXPLE4a3xnQDn5VDi,exact,1,exact,,,,,,none,,,,,,,,,,,,,,,,,,,
Darkwave Surfer,Darkwave Surfer,Aural Vampire,Kerguelen Vortex,4:47,,2011.0,,No,,,"merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv",Title: Aural vampire - Darkwave surfer | Original Artist Col: Becky Stone | Album Col: nan | Duration: 4:47 | YouTube Music source file; verified via iTunes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eden,Eden,Hooverphonic,Blue Wonder Power Milk,3:36,,1998.0,,No,,,"merged_playlist.csv, YTMusic\and now forr listen.csv",Title: Eden (Official Video) | Original Artist Col: Hooverphonic | Album Col: nan | Duration: 3:36 | YouTube Music source file; verified via iTunes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fade Into You (Live),Fade Into You (Live),Mazzy Star,So Tonight That I Might See,4:23,Pop,1993.0,,No,,,"merged_playlist.csv, YTMusic\and now forr listen.csv",Title: Mazzy Star - Fade Into You (Live) | Original Artist Col: Alt Vault Alt Vault - Alternative Rock Live - Volume 10 | Album Col: nan | Duration: 4:23 | YouTube Music source file; verified via iTunes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faster Car,Faster Car,Loving Caliber,Chemicals (Instrumental Version),2:42,,2017.0,,No,,,"merged_playlist.csv, YTMusic\1111.csv, YTMusic\liked_music_playlist (3).csv",Title: Faster Car - Loving Caliber [Aphmau Official] | Original Artist Col: Aphmau | Album Col: nan | Duration: 2:42 | YouTube Music source file; verified via iTunes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In the Air Tonight (Panski & John Skyfield Remix) [Mixed],In the Air Tonight (Panski & John Skyfield Remix) [Mixed],Phil Collins,Face Value (Deluxe Editon),6:35,,1981.0,,No,,,"merged_playlist.csv, YTMusic\forgarageb.csv",Title: Phil Collins - In The Air Tonight (Panski & John Skyfield Remix) | Original Artist Col: Sharapov | Album Col: nan | Duration: 6:35 | YouTube Music source file; verified via iTunes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
