Title,Base Title,Artist,Album,Duration,Genre,Year,Original Artist,Cover Song,Orig Artist,Covering Artist,Source Files,Original Data,Energy,BPM,Vibe,Discogs Verified,Spotify Verified,MusicBrainz Verified,iTunes Verified,Spotify ID,Playlists,Spotify Input Title,Spotify Input Artist,Spotify Matched Title,Spotify Matched Artist,Spotify Artist Changed,Spotify Artist Similarity,Spotify Popularity,Spotify Track ID,Spotify Match Method,Spotify Match Score,Spotify Search Strategy,Spotify ISRC,Spotify Album,Spotify Release Date,Spotify Duration (ms),Spotify MusicBrainz ID,Spotify MBID Method,Spotify BPM,Spotify Key,Spotify Scale,Spotify Key Full,Spotify Energy Level,Spotify Danceability,Spotify Vocal Type,Spotify Mood Happy,Spotify Mood Sad,Spotify Mood Aggressive,Spotify Mood Relaxed,Spotify Mood Party,Spotify Genre,Spotify Genre Detail,Spotify LastFM Tags,Spotify Vibe,Spotify AB Source,Alternate Albums,Duplicate Merge Notes
A Thousand Miles - Vanessa Carlton (acoustic),A Thousand Miles - Vanessa Carlton (acoustic),Ant Je,Be Not Nobody,3:50,,2002.0,,No,,,"merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv",Title: A Thousand Miles - Vanessa Carlton (acoustic) | Original Artist Col: Ant Je | Album Col: nan | Duration: 3:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aural vampire - Darkwave surfer,Aural vampire - Darkwave surfer,Becky Stone,Kerguelen Vortex,4:47,,2011.0,,No,,,"merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv",Title: Aural vampire - Darkwave surfer | Original Artist Col: Becky Stone | Album Col: nan | Duration: 4:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Because You Move Me,Because You Move Me,Tinlicker - Topic,Because You Move Me,3:17,,2017.0,,No,,,"music library songs.csv, merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv",Video ID: 6RgffY0IB8Q | Song Title: Because You Move Me ; Title: Because You Move Me | Original Artist Col: Tinlicker - Topic | Album Col: nan | Duration: 3:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Love (feat. Dr. Dre Roger Troutman),California Love,,,,,,,No,,,YTMusic\music-uploads\California Love (feat. Dr. Dre _ Roger Troutman).mp3,File: California Love (feat. Dr. Dre _ Roger Troutman).mp3 | Parsed Title: California Love (feat. Dr. Dre Roger Troutman) | Parsed Artist:  | Parsed Album:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chillout Lounge - Calm & Relaxing Background Music | Study, Work, Sleep, Meditation, Chill
    
      
        
        
          Live","Chillout Lounge - Calm & Relaxing Background Music | Study, Work, Sleep, Meditation, Chill
    
      
        
        
          Live",The Good Life Radio x Sensual Musique,Pure Relaxing Chillout Music,2:33,,2019.0,,No,,,"merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv","Title: Chillout Lounge - Calm & Relaxing Background Music | Study, Work, Sleep, Meditation, Chill
    
      
        
        
          Live | Original Artist Col: The Good Life Radio x Sensual Musique | Album Col: nan | Duration: nan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cinephile - What Becomes Of Us (Nesting Dolls Edit),Cinephile - What Becomes Of Us (Nesting Dolls Edit),NightwolfX19,Collected Works,4:21,,2016.0,,No,,,"merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv",Title: Cinephile - What Becomes Of Us (Nesting Dolls Edit) | Original Artist Col: NightwolfX19 | Album Col: nan | Duration: 4:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clumsy Feat. Michael Stipe,Clumsy Feat. Michael Stipe,Stephane Pompougnac,,,,,,No,,,spotify_popularity_results.csv,Spotify Track ID: 1J2oQWXPLE4a3xnQDn5VDi | Popularity: 0 | Match Method: exact | LastFM Tags: ,,,,,Yes,,,,,Clumsy Feat. Michael Stipe,Stephane Pompougnac,Clumsy feat. Michael Stipe,Stéphane Pompougnac,NO,1,0,1J2oQWXPLE4a3xnQDn5VDi,exact,1,exact,,,,,,none,,,,,,,,,,,,,,,,,,,
Eden (Official Video),Eden (Official Video),Hooverphonic,Blue Wonder Power Milk,3:36,,1998.0,,No,,,"merged_playlist.csv, YTMusic\and now forr listen.csv",Title: Eden (Official Video) | Original Artist Col: Hooverphonic | Album Col: nan | Duration: 3:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faster Car - Loving Caliber [Aphmau Official],Faster Car - Loving Caliber [Aphmau Official],Aphmau,Chemicals (Instrumental Version),2:42,,2017.0,,No,,,"merged_playlist.csv, YTMusic\1111.csv, YTMusic\liked_music_playlist (3).csv",Title: Faster Car - Loving Caliber [Aphmau Official] | Original Artist Col: Aphmau | Album Col: nan | Duration: 2:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flight Facilities Ft. Emma Louise - Two Bodies,Flight Facilities,"Ahmed Redha, Emma Louise - Two Bodies",Dark Side of the Moon,6:08,Electronic,2014.0,,No,,,music library songs.csv,Video ID: I12_KMy1wdE | Song Title: Flight Facilities Ft. Emma Louise - Two Bodies | Album Title: Dark Side of the Moon | Artist Name 1: Ahmed Redha | Artist Name 2: Emma Louise - Two Bodies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
