Recording ID,Song ID,Main DB CSV Line,Title,Canonical Title,Version,Artist,Original Artist,Covering Artist,Cover Song,Album,Alternate Albums,Release Year,Duration,Duration ms,Genre,Genre Detail,BPM,BPM Source,Key,Key Source,Scale,Time Signature,Tuning,Capo,Guitar Difficulty,Bass Difficulty,Drum Difficulty,Vocal Range,Instrumentation,Main Riff/Hook,Solo,Arrangement Notes,Mood Tags,Event Tags,Situation Tags,Setlist Role,Crowd Energy,Danceability,Vocal Type,Explicit/Lyric Risk,Playlists,Source Files,Spotify Track ID,Legacy Spotify ID,Spotify ISRC,Spotify Popularity,Spotify Verified,Spotify Match Method,Spotify Match Score,MusicBrainz Recording ID,MusicBrainz Verified,Discogs Verified,iTunes Verified,SecondHandSongs Search URL,SecondHandSongs Verified URL,SecondHandSongs Link Status,WhoSampled Search URL,WhoSampled Verified URL,WhoSampled Link Status,Ultimate Guitar Search URL,Ultimate Guitar Official Tab URL,Ultimate Guitar Best Tab URL,Ultimate Guitar Tab Preference,Ultimate Guitar Tab Status,Duplicate Merge Notes,Data Quality Notes
R05508169FA85,S6B70BC88D513,9697,ONLY LOVE CAN BREAK A HEART,Only Love Can Break A Heart,studio/original unless noted,Kenny Dale,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manual Addition,,,,,,,,,,,,,,,,,,,,,,,,
R0C9415AEA0F8,S61F357E3B33A,9681,FLOAT ON,Float On,studio/original unless noted,The Floaters,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manual Addition,,,,,,,,,,,,,,,,,,,,,,,,
R1048EE4F29E2,S121CAC791845,392,Mazzy Star - Fade Into You (Live),Mazzy Star - Fade Into You (Live),live,Alt Vault Alt Vault - Alternative Rock Live - Volume 10,,,No,So Tonight That I Might See,,1993.0,4:23,,Pop,,,,,,,,,,,,,,,,,,,,,,,,,,,"merged_playlist.csv, YTMusic\and now forr listen.csv",,,,,,,,,,,,https://www.google.com/search?q=site%3Asecondhandsongs.com+Mazzy+Star+-+Fade+Into+You+%28Live%29+Alt+Vault+Alt+Vault+-+Alternative+Rock+Live+-+Volume+10,,search_link_generated,https://www.google.com/search?q=site%3Awhosampled.com+Mazzy+Star+-+Fade+Into+You+%28Live%29+Alt+Vault+Alt+Vault+-+Alternative+Rock+Live+-+Volume+10,,search_link_generated,https://www.ultimate-guitar.com/search.php?search_type=title&value=Mazzy+Star+-+Fade+Into+You+%28Live%29+Alt+Vault+Alt+Vault+-+Alternative+Rock+Live+-+Volume+10,,,official_tab_then_most_popular,search_link_generated,,
R12515F7EA52B,S813FD792EC85,9678,COME AND GET YOUR LOVE,Come And Get Your Love,studio/original unless noted,Redbone,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manual Addition,,,,,,,,,,,,,,,,,,,,,,,,
R1D82B8B885AA,S49AA62C930AE,6803,Massive Attack - Paradise Circus,Massive Attack - Paradise Circus,studio/original unless noted,shinemyshoes,,,No,Heligoland,,2010.0,5:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv",,,,,,,,,,,,https://www.google.com/search?q=site%3Asecondhandsongs.com+Massive+Attack+-+Paradise+Circus+shinemyshoes,,search_link_generated,https://www.google.com/search?q=site%3Awhosampled.com+Massive+Attack+-+Paradise+Circus+shinemyshoes,,search_link_generated,https://www.ultimate-guitar.com/search.php?search_type=title&value=Massive+Attack+-+Paradise+Circus+shinemyshoes,,,official_tab_then_most_popular,search_link_generated,,
R1E043250C17C,S8DA424A100CC,9701,THE HUSTLE,The Hustle,studio/original unless noted,Van McCoy & The Soul City Symphony,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manual Addition,,,,,,,,,,,,,,,,,,,,,,,,
R2790098D186D,S06F7835CDAA0,1376,Voices,Voices,studio/original unless noted,Blundetto - Topic,,,No,Bad Bad Things,,2010.0,3:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv",,,,,,,,,,,,https://www.google.com/search?q=site%3Asecondhandsongs.com+Voices+Blundetto+-+Topic,,search_link_generated,https://www.google.com/search?q=site%3Awhosampled.com+Voices+Blundetto+-+Topic,,search_link_generated,https://www.ultimate-guitar.com/search.php?search_type=title&value=Voices+Blundetto+-+Topic,,,official_tab_then_most_popular,search_link_generated,,
R2BAE99C1A65C,SAC959C3419AA,9704,VENUS,Venus,studio/original unless noted,Shocking Blue,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manual Addition,,,,,,,,,,,,,,,,,,,,,,,,
R2F27C98F0BE5,S3C31F4246D0E,553,Monophonics - Bang Bang,Monophonics - Bang Bang,studio/original unless noted,AnnaR21,,,No,In Your Brain,,2012.0,3:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"merged_playlist.csv, YTMusic\1theshow.csv",,,,,,,,,,,,https://www.google.com/search?q=site%3Asecondhandsongs.com+Monophonics+-+Bang+Bang+AnnaR21,,search_link_generated,https://www.google.com/search?q=site%3Awhosampled.com+Monophonics+-+Bang+Bang+AnnaR21,,search_link_generated,https://www.ultimate-guitar.com/search.php?search_type=title&value=Monophonics+-+Bang+Bang+AnnaR21,,,official_tab_then_most_popular,search_link_generated,,
R32C04DD18577,S948448F846AE,9675,ALL RIGHT NOW,All Right Now,studio/original unless noted,Free,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manual Addition,,,,,,,,,,,,,,,,,,,,,,,,
