Song ID,Canonical Title,Canonical Artist,MusicBrainz Work ID,Primary Recording ID,Preferred Primary Release,First Published Year,Genre Family,Default Mood Tags,Default Event Tags,Default Situation Tags,Notes
S00862A8E5645,Without You [Unbelievable Music Video],Lapalux,,RDD34966D304F,Nostalchic,2013.0,Trip-Hop,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S013DFD3BC02A,Flight Facilities,Ahmed Redha Dark Side of the Moon,,RE56308D4BD3B,Down to Earth,2014.0,Electronic,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S06F7835CDAA0,Voices,Blundetto - Topic,,R2790098D186D,Bad Bad Things,2010.0,,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S121CAC791845,Mazzy Star - Fade Into You (Live),Alt Vault Alt Vault - Alternative Rock Live - Volume 10,,R1048EE4F29E2,So Tonight That I Might See,1993.0,Pop,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S1BF3F9692397,New York Groove,Ace Frehley,,R7712B649AF0B,,,,,,,Manually added list of songs
S1D8A6053AEC9,Because You Move Me,Tinlicker - Topic,,RDCF76F602036,Because You Move Me,2017.0,,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S21C6A030891E,Midnight Rider,Gregg Allman,,RB2F301762660,,,,,,,Manually added list of songs
S2AB41057B93B,California Love,,,R9A348860AD3D,,,,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S3C31F4246D0E,Monophonics - Bang Bang,AnnaR21,,R2F27C98F0BE5,In Your Brain,2012.0,,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S410D0C2D402A,In The Summertime,Mungo Jerry,,R4EE4E6793CC9,,,,,,,Manually added list of songs
S49AA62C930AE,Massive Attack - Paradise Circus,shinemyshoes,,R1D82B8B885AA,Heligoland,2010.0,,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S4F229E07FE40,Flight Facilities,"Ahmed Redha, Emma Louise - Two Bodies",,R5146FC7679F3,Dark Side of the Moon,2014.0,Electronic,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S52558BB457CA,Ride Captain Ride,Blues Image,,R7CF4113089FB,,,,,,,Manually added list of songs
S5620F7B35135,Cat'S In The Cradle,Harry Chapin,,RC450FCDA3C58,,,,,,,Manually added list of songs
S5B0D4D1174AC,Phil Collins - In The Air Tonight (Panski & John Skyfield Remix),Sharapov,,R862B0EE02C08,Face Value (Deluxe Editon),1981.0,,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S5D21993252C9,Werewolves Of London,Warren Zevon,,R4B86B89FE61B,,,,,,,Manually added list of songs
S61F357E3B33A,Float On,The Floaters,,R0C9415AEA0F8,,,,,,,Manually added list of songs
S6526C1BB0A2A,Faster Car - Loving Caliber [Aphmau Official],Aphmau,,R5B907041A496,Chemicals (Instrumental Version),2017.0,,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S65D2A7B8781E,Brandy (You'Re A Fine Girl),Looking Glass,,REEC3A14E08AE,,,,,,,Manually added list of songs
S6B70BC88D513,Only Love Can Break A Heart,Kenny Dale,,R05508169FA85,,,,,,,Manually added list of songs
S6DC974C6A779,The Night Chicago Died,Paper Lace,,R850482D08F96,,,,,,,Manually added list of songs
S6ED56FDD0B8A,Clumsy Feat. Michael Stipe,Stephane Pompougnac,,R816AF6C09817,,,,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S7141C2326D99,Mississippi Queen,Mountain,,RCB09B7283A2F,,,,,,,Manually added list of songs
S813FD792EC85,Come And Get Your Love,Redbone,,R12515F7EA52B,,,,,,,Manually added list of songs
S8507C23F650E,A Thousand Miles - Vanessa Carlton (acoustic),Ant Je,,R79647468ACB0,Be Not Nobody,2002.0,,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S8A1E9B16012E,Cinephile - What Becomes Of Us (Nesting Dolls Edit),NightwolfX19,,R618E648C5DF8,Collected Works,2016.0,,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S8C45312E3BB9,Don'T Let Me Be Misunderstood,Santa Esmeralda,,R3C99D3C52014,,,,,,,Manually added list of songs
S8DA424A100CC,The Hustle,Van McCoy & The Soul City Symphony,,R1E043250C17C,,,,,,,Manually added list of songs
S948448F846AE,All Right Now,Free,,R32C04DD18577,,,,,,,Manually added list of songs
S966EFD8FF43D,Eden (Official Video),Hooverphonic,,RB3A064EA5B1D,Blue Wonder Power Milk,1998.0,,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S970F1E562ADE,Dancing In The Moonlight,King Harvest,,RBE8C7F71DE74,,,,,,,Manually added list of songs
S9AD78695D3BE,Pop Muzik,M,,RF82EEFEBCDCF,,,,,,,Manually added list of songs
S9B5DB32B9F18,I Love The Nightlife,Alicia Bridges,,R454A67C04A2F,,,,,,,Manually added list of songs
S9C870DCB103F,Flight Facilities Ft. Emma Louise - Two Bodies,Ahmed Redha,,R81743C8E46FE,,,,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
S9F78B4F9530E,Ohio,"Crosby, Stills, Nash & Young",,RDD6DEB95F439,,,,,,,Manually added list of songs
SAC959C3419AA,Venus,Shocking Blue,,R2BAE99C1A65C,,,,,,,Manually added list of songs
SAF373046FDAE,Montego Bay,Bobby Bloom,,RB47932A3B4D9,,,,,,,Manually added list of songs
SB0E69780E6E9,Play That Funky Music,Wild Cherry,,R625320511A66,,,,,,,Manually added list of songs
SB59CD753BA6A,Summer Jam (Video Edit),R.I.O. feat. U-Jean,,RE698A7E5FEFA,Turn This Club Around (Limited Edition),2011.0,Dance,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
SB5B1222F6D53,Magic,Pilot,,RDEE792B035B2,,,,,,,Manually added list of songs
SB6DFD0F35507,My Sharona,The Knack,,R7600565AE17F,,,,,,,Manually added list of songs
SBDEE88844D17,Got To Be Real,Cheryl Lynn,,RDF3604DAA9AA,,,,,,,Manually added list of songs
SBE78617200D4,Afternoon Delight,Starland Vocal Band,,R3DB5153CBED5,,,,,,,Manually added list of songs
SBEA0D88D2E04,Marea (we've lost dancing),Fred again.. & The Blessed Madonna Actual Life (April 14 - December 17 2020),,R6362791F591D,Live at Glastonbury 2023: Other Stage,2020.0,Electronic,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
SC487037AF5E8,Kung Fu Fighting,Carl Douglas,,RA773D16F4B04,,,,,,,Manually added list of songs
SC6D30C1CEE1C,Love Is The Drug,Roxy Music,,R9AAB3AB230F6,,,,,,,Manually added list of songs
SC7EE9DCB7DC7,Moloko - The Time is Now,Augustus11,,RA89330F16552,Things to Make and Do,2000.0,,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
SCCB32E5C24A3,The Night The Lights Went Out In Georgia,Vicki Lawrence,,RD4B9807DDF8F,,,,,,,Manually added list of songs
SD04AAA5D5400,Aural vampire - Darkwave surfer,Becky Stone,,R34E8288BD52E,Kerguelen Vortex,2011.0,,,,,Generated from Main_Song_Database.csv; verify Work ID before grouping covers or alternate artists.
SECE904813EA1,House Of The Rising Sun,Frijid Pink,,R4D6DF7B0631F,,,,,,,Manually added list of songs
SED4279A68FCF,Love Hurts,Nazareth,,R331388112725,,,,,,,Manually added list of songs
SFE094E3E71D8,Funkytown,Lipps Inc.,,RA8B1F48F1815,,,,,,,Manually added list of songs
